"Date of data","Trading partner code","Trading partner","Commodity code","Commodity","US dollar",
"202505","502","United States","0801","Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled.","24,300",
"202505","502","United States","0802","Other nuts, fresh or dried, whether or not shelled or peeled.","2,144,371",
"202505","502","United States","0803","Bananas, including plantains, fresh or dried.","58,653",
"202505","502","United States","0804","Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried.","320,554",
"202505","502","United States","0805","Citrus fruit, fresh or dried.","287,859",
"202505","502","United States","0806","Grapes, fresh or dried.","3,525",
"202505","502","United States","0808","Apples, pears and quinces, fresh.","612,221",
"202505","502","United States","0810","Other fresh fruits","1,609,307",
"202505","502","United States","0811","Fruit and nuts, uncooked or cooked by steaming or boiling in 
water, frozen, whether or not containing added sugar or other 
sweetening matter.","209,423",
"202505","502","United States","0813","Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this Chapter.","13,694,649",
"202505","502","United States","0814","Peel of citrus fruit or melons (including watermelons), fresh, 
frozen, dried or provisionally preserved in brine, in sulphur 
water or in other preservative solutions.","4,264",
"202505","502","United States","0901","Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion.","2,115,650",
"202505","502","United States","0902","Tea, whether or not flavoured.","2,368,532",
"202505","502","United States","0904","Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta.","3,911,274",
"202505","502","United States","0906","Cinnamon and cinnamontree flowers.","60,461",
"202505","502","United States","0907","loves (whole fruit, cloves and stems).","37,564",
"202505","502","United States","0908","Nutmeg, mace and cardamoms.","580",
"202505","502","United States","0909","Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries.","73,056",
"202505","502","United States","0910","Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices.","4,372,660",
"202505","502","United States","1008","Buckwheat, millet and canary seeds; other cereals.","30,837",
"202505","502","United States","1102","Cereal flours other than of wheat or meslin.","281",
"202505","502","United States","1104","Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground.","69,827",
"202505","502","United States","1106","Flour, meal and powder of the dried leguminous vegetables of heading 07.13, of sago or of roots or tubers of heading 07.14 or of the products of Chapter 8.","550,724",
"202505","502","United States","1107","Malt, whether or not roasted.","80",
"202505","502","United States","1108","tarches; inulin.","446,761",
"202505","502","United States","1109","Wheat gluten, whether or not dried.","6,204",
"202505","502","United States","1201","Soya beans, whether or not broken.","27,845",
"202505","502","United States","1202","Groundnuts, not roasted or otherwise cooked, whether or not shelled or broken.","1,670",
"202505","502","United States","1203","Copra","5,599",
"202505","502","United States","1206","Sunflower seeds, whether or not broken.","106,630",
"202505","502","United States","1207","Other oil seeds and oleaginous fruits, whether or not broken.","68,940",
"202505","502","United States","1209","Seeds, fruit and spores, of a kind used for sowing.","424,565",
"202505","502","United States","1211","lants and parts of plants (including seeds and fruits), of a kind 
used primarily in perfumery, in pharmacy or for insecticidal, 
fungicidal or similar purposes, fresh, chilled, frozen or dried, 
whether or not cut, crushed or powdered.","981,175",
"202505","502","United States","1212","Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit 
stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sativum) of a kind used primarily for human consumption, not elsewhere specified or included.","4,336,301",
"202505","502","United States","1301","Lac; natural gums, resins, gumresins and oleoresins (for example, balsams).","411,150",
"202505","502","United States","1302","Vegetable saps and extracts; pectic substances, pectinates and 
pectates; agaragar and other mucilages and thickeners, whether 
or not modified, derived from vegetable products.","26,069,596",
"202505","502","United States","1401","Vegetable materials of a kind used primarily for plaiting (for example, bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw, and lime bark).","496,518",
"202505","502","United States","1404","Vegetable products not elsewhere specified or included.","975,014",
