Date of data,Trading partner code,Trading partner,Commodity code,Commodity,Renminbi Yuan
201912,502,United States,010611,Primates,32250039
201912,502,United States,010619,Other mammals,352681
201912,502,United States,010620,Reptiles (including snakes and turtles),2914
201912,502,United States,020810,"Meat and edible meat offal of rabbits or hares,fresh, chilled or frozen",3156231
201912,502,United States,030111,Ornamental fish of freshwater,328673
201912,502,United States,030199,Other,9600
201912,502,United States,030289,"Other fish,fresh or chilled",1180427
201912,502,United States,030323,"Tilapias (Oreochromis spp) , frozen",10621995
201912,502,United States,030325,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, , frozen Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",518952
201912,502,United States,030326,"Eels (Anguilla spp) , frozen",1082197
201912,502,United States,030339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",76471
201912,502,United States,030354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",71406
201912,502,United States,030359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",1543225
201912,502,United States,030389,"Other fish ,frozen",88458352
201912,502,United States,030461,Frozen fillets of tilapias (Oreochromis spp),26852280
201912,502,United States,030462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",16301629
201912,502,United States,030471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",210202663
201912,502,United States,030472,Frozen fillets of haddock (Melanogrammus aeglefinus),52782709
201912,502,United States,030474,"Frozen fillets of hake (Merluccius spp, Urophycis spp)",5846686
201912,502,United States,030475,Frozen fillets of alaska Pollack (Theragra chalcogramma),48325999
201912,502,United States,030479,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excluding cod, haddock, coalfish, hake and Alaska pollack)",45088
201912,502,United States,030481,"Frozen fillets of Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",193974175
201912,502,United States,030483,"Frozen fillets of flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",53924422
201912,502,United States,030489,"Frozen fish fillets, n.e.s.",15040723
201912,502,United States,030494,"Frozen meat, whether or not minced, of alaska Pollack (Theragra chalcogramma)",790270
201912,502,United States,030495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",74137
201912,502,United States,030499,Frozen fish meat n.e.s. (excluding fillets),6581188
201912,502,United States,030520,"Livers, roes and milt of fish, dried, smoked, salted or in brine",1045038
201912,502,United States,030532,"Fillets, dried, salted or in brine, but not smoked, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",14472343
201912,502,United States,030559,"Dried fish, even salted but not smoked (excluding fillets, offal and cod)",1621942
201912,502,United States,030569,"Other fish, salted or in brine only (excluding fillets, offal, herring, cod, anchovies, tilapia, catfish, carp, eels, Nile perch and snakeheads)",2177816
201912,502,United States,030572,"Fish heads, tails and maws, smoked, dried, salted or in brine",145845
201912,502,United States,030614,Frozen crabs,12057507
201912,502,United States,030617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water (excluding cold-water shrimps and prawns)",14473715
201912,502,United States,030633,"Crabs , whether in shell or not, live, fresh or chilled",88750
201912,502,United States,030636,"Other shrimps and prawns, whether in shell or not, live, fresh or chilled",1402
201912,502,United States,030695,"Shrimps and prawns,, whether in shell or not, live, fresh or chilled (excl. rock lobster and other sea crawfish, lobsters, crabs, Norway lobsters, shrimps and prawns); flours, meals and pellets of crustaceans, fit for human consumption, fresh or chilled",4908274
201912,502,United States,030722,"Frozen scallops, incl. queen scallops, of the genera Pecten, Chlamys or Placopecten, even in shell",40947190
201912,502,United States,030739,"Mussels (Mytilus spp., Perna spp.), smoked, frozen, dried, salted or in brine, with or without shell",2476568
201912,502,United States,030743,"Frozen cuttle fish and squid, with or without shell",104694866
201912,502,United States,030752,Frozen octopus (Octopus spp.),1630671
201912,502,United States,030772,"Frozen, even in shell, clams, cockles and ark shells (families Arcidae, Arcticidae,Cardiidae,Donacidae,Hiatellidae,Mactridae,Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae)",80481
201912,502,United States,030830,Jellyfish (Rhopilema spp),2115847
201912,502,United States,030890,"Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, aquatic invertebrates (excluding crustaceans, molluscs, sea cucumbers, sea urchins and jellyfish); all flours, meals and pellets of aquatic invertebrates other than crustaceans and molluscs, fit for human consumption",14935
201912,502,United States,040299,"Milk and cream, concentrated and sweetened (excluding in solid forms)",198932
201912,502,United States,040790,"Other birds'eggs, in shell, preserved or cooked",3438288
201912,502,United States,040811,Dried egg yolks,720520
201912,502,United States,040819,Other egg yolks,93530
201912,502,United States,040899,"Other birds'eggs, not in shell, fresh, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, whether or not sweetened (excluding dried)",289513
201912,502,United States,041000,"dible products of animal origin, not elsewhere specified or included",1302868
201912,502,United States,050210,"Pigs', hogs' or boars' bristles and hair and waste thereof",2808871
201912,502,United States,050290,Badger and other brush making hair and waste thereof,47771
201912,502,United States,050400,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked",59147518
201912,502,United States,050510,Feathers of a kind used for stuffing; down,18548960
201912,502,United States,050590,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, whether or not with trimmed edges, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of feathers (excluding feathers used for stuffing and down)",6792
