Date of data,Trading partner code,Trading partner,Commodity code,Commodity,Renminbi Yuan
202104,502,United States,10619,Other mammals,2832606.0
202104,502,United States,10649,Other insects,233.0
202104,502,United States,20810,"Meat and edible meat offal of rabbits or hares,fresh, chilled or frozen",2468261.0
202104,502,United States,30111,Ornamental fish of freshwater,513845.0
202104,502,United States,30289,"Other fish,fresh or chilled",1272070.0
202104,502,United States,30312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) ,frozen",2470024.0
202104,502,United States,30323,"Tilapias (Oreochromis spp) , frozen",1741503.0
202104,502,United States,30325,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, , frozenHypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",247073.0
202104,502,United States,30326,"Eels (Anguilla spp) , frozen",823050.0
202104,502,United States,30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",6009.0
202104,502,United States,30354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",168787.0
202104,502,United States,30359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",2121485.0
202104,502,United States,30389,"Other fish ,frozen",54819561.0
202104,502,United States,30461,Frozen fillets of tilapias (Oreochromis spp),8590350.0
202104,502,United States,30462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",6356303.0
202104,502,United States,30471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",134566383.0
202104,502,United States,30472,Frozen fillets of haddock (Melanogrammus aeglefinus),27583843.0
202104,502,United States,30474,"Frozen fillets of hake (Merluccius spp, Urophycis spp)",1871624.0
202104,502,United States,30475,Frozen fillets of alaska Pollack (Theragra chalcogramma),33666881.0
202104,502,United States,30481,"Frozen fillets of Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",141483326.0
202104,502,United States,30483,"Frozen fillets of flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",26011756.0
202104,502,United States,30487,"Frozen fillets of tunas (of the genus Thunnus), skipjack or stripebellied bonito (Euthynnus (Katsuwonus) pelamis)",1081896.0
202104,502,United States,30489,"Frozen fish fillets, n.e.s.",9056072.0
202104,502,United States,30494,"Frozen meat, whether or not minced, of alaska Pollack (Theragra chalcogramma)",157038.0
202104,502,United States,30495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",632115.0
202104,502,United States,30499,Frozen fish meat n.e.s. (excluding fillets),75143.0
202104,502,United States,30520,"Livers, roes and milt of fish, dried, smoked, salted or in brine",3478169.0
202104,502,United States,30532,"Fillets, dried, salted or in brine, but not smoked, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",6017896.0
202104,502,United States,30539,"Fish fillets, dried, salted or in brine, but not smoked (excluding tilapia, catfish, carp, eels, Nile perch, snakeheads and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)",736896.0
202104,502,United States,30559,"Dried fish, even salted but not smoked (excluding fillets, offal and cod)",75047.0
202104,502,United States,30569,"Other fish, salted or in brine only (excluding fillets, offal, herring, cod, anchovies, tilapia, catfish, carp, eels, Nile perch and snakeheads)",2027780.0
202104,502,United States,30572,"Fish heads, tails and maws, smoked, dried, salted or in brine",427415.0
