Date of data,Trading partner code,Trading partner,Commodity code,Commodity,Renminbi Yuan
202505,502,United States,010619,Other mammals,3247094
202505,502,United States,010649,Other insects,1617
202505,502,United States,020810,"Meat and edible meat offal of rabbits or hares,fresh, chilled or frozen",572736
202505,502,United States,020890,"Other meat and edible meat offal,fresh, chilled or frozen",637625
202505,502,United States,030111,Ornamental fish of freshwater,322852
202505,502,United States,030223,"Sole (Solea spp) ,fresh or chilled",25969
202505,502,United States,030289,"Other fish,fresh or chilled",746448
202505,502,United States,030323,"Tilapias (Oreochromis spp) , frozen",586044
202505,502,United States,030326,"Eels (Anguilla spp) , frozen",150700
202505,502,United States,030339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",41241
202505,502,United States,030355,"Jack and horse mackerel (Trachurus spp) ,frozen",57706
202505,502,United States,030359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",549334
202505,502,United States,030389,"Other fish ,frozen",35219294
202505,502,United States,030399,"Other fish fins, heads, tails, maws and other edible fish offal,frozen",231041
202505,502,United States,030461,Frozen fillets of tilapias (Oreochromis spp),4447368
202505,502,United States,030462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",2723636
202505,502,United States,030469,"Frozen fillets of carp ""Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus"", eels ""Anguilla spp."" and snakeheads ""Channa spp.""",393377
202505,502,United States,030471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",115483601
202505,502,United States,030472,Frozen fillets of haddock (Melanogrammus aeglefinus),2376677
202505,502,United States,030474,"Frozen fillets of hake (Merluccius spp, Urophycis spp)",705683
202505,502,United States,030475,Frozen fillets of Alaska Pollock (Theragra chalcogramma),10496084
202505,502,United States,030481,"Frozen fillets of Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",75939658
202505,502,United States,030483,"Frozen fillets of flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",20379026
202505,502,United States,030489,"Frozen fish fillets, n.e.s.",5911463
202505,502,United States,030499,Frozen fish meat n.e.s. (excluding fillets),571527
202505,502,United States,030532,"Fillets, dried, salted or in brine, but not smoked, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",16032812
202505,502,United States,030551,"Dried cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",105400
202505,502,United States,030569,"Other fish, salted or in brine only (excluding fillets, offal, herring, cod, anchovies, tilapia, catfish, carp, eels, Nile perch and snakeheads)",954792
202505,502,United States,030614,Frozen crabs,3568908
202505,502,United States,030617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water (excluding cold-water shrimps and prawns)",41170059
202505,502,United States,030636,"Other shrimps and prawns, whether in shell or not, live, fresh or chilled",433
202505,502,United States,030695,"Shrimps and prawns,, whether in shell or not, live, fresh or chilled (excl. rock lobster and other sea crawfish, lobsters, crabs, Norway lobsters, shrimps and prawns); flours, meals and pellets of crustaceans, fit for human consumption, fresh or chilled",635701
202505,502,United States,030711,"Oysters, live, fresh, chilled",24670
202505,502,United States,030722,Frozen scallops and other molluscs of the family Pectinidae,7130543
202505,502,United States,030743,"Frozen cuttle fish and squid, with or without shell",130533438
