数据年月,贸易伙伴编码,贸易伙伴名称,商品编码,商品名称,人民币
202511,502,美国,1301,虫胶；天然树胶、树脂、树胶脂及油树脂（例如，香树脂）,429154.0
202511,502,美国,1302,植物液汁及浸膏；果胶、果胶酸盐及果胶酸脂；从植物产品制得的琼脂、其他胶液及增稠剂，不论是否改性,3673472.0
202511,502,美国,1404,其他编码未列名的植物产品,32766.0
202511,502,美国,1504,鱼或海生哺乳动物的油、脂及其分离品，不论是否精制、但未经化学改性,16975608.0
202511,502,美国,1506,其他动物油、脂及其分离品，不论是否精制，但未经化学改性,8802423.0
202511,502,美国,1507,豆油及其分离品，不论是否精制，但未经化学改性,2748.0
202511,502,美国,1508,花生油及其分离品，不论是否精制，但未经化学改性,570322.0
202511,502,美国,1509,油橄榄油及其分离品，不论是否精制，但未经化学改性,23101.0
202511,502,美国,1510,其他橄榄油及其分离品，不论是否精制，但未经化学改性，包括掺有品目15.09的油或分离品的混合物,471.0
202511,502,美国,1512,葵花油、红花油、棉子油及其分离品，不论是否精制，但未经化学改性,5613.0
202511,502,美国,1513,椰子油、棕榈仁油或巴巴苏棕榈果油及其分离品，不论是否精制，但未经化学改性,37680.0
202511,502,美国,1514,菜子油或芥子油及其分离品，不论是否精制，但未经化学改性,5649.0
202511,502,美国,1515,其他固定植物或微生物油、脂（包括希蒙得木油）及其分离品，不论是否精制，但未经化学改性,18509114.0
202511,502,美国,1516,动、植物或微生物油、脂及其分离品，全部或部分氢化、相互酯化、再酯化或反油酸化，不论是否精制，但未经进一步加工,2788846.0
202511,502,美国,1517,人造黄油；本章各种动、植物或微生物油、脂及其分离品混合制成的食用油、脂或制品，但品目1516的食用油、脂及其分离品除外,11438134.0
202511,502,美国,1518,动、植物或微生物油、脂及其分离品，经过熟炼、氧化、脱水、硫化、吹制或在真空、惰性气体中加热聚合及用其他化学方法改性的，但品目15.16的产品除外；本章各种油、脂及其分离品混合制成的其他品目未列名的非食用油、脂或制品,3572131.0
202511,502,美国,1520,粗甘油；甘油水及甘油碱液,295517.0
202511,502,美国,1521,植物蜡（甘油三酸酯除外）、蜂蜡、其他虫蜡及鲸蜡，不论是否精炼或着色,21025.0
202511,502,美国,1602,其他方法制作或保藏的肉、食用杂碎或动物血或昆虫,140836982.0
202511,502,美国,1605,制作或保藏的甲壳动物、软体动物及其他水生无脊椎动物,1022783.0
202511,502,美国,1701,固体甘蔗糖、甜菜糖及化学纯蔗糖,3478593.0
202511,502,美国,1702,其他固体糖，包括化学纯乳糖、麦芽糖、葡萄糖及果糖；未加香料或着色剂的糖浆；人造蜜，不论是否掺有天然蜂蜜；焦糖,80644137.0
202511,502,美国,1704,不含可可的糖食（包括白巧克力）,52513590.0
202511,502,美国,1804,可可脂、可可油,604.0
202511,502,美国,1805,未加糖或其他甜物质的可可粉,62620.0
202511,502,美国,1806,巧克力及其他含可可的食品,28340059.0
202511,502,美国,1901,麦精；细粉、粗粒、粗粉、淀粉或麦精制的其他品目未列名的食品，不含可可或按重量计全脱脂可可含量低于40%；品目0401至0404所列货品制的其他品目未列名的食品，不含可可或按重量计全脱脂可可含量低于5%,15621838.0
202511,502,美国,1902,面食，不论是否煮熟、包馅（肉馅或其他馅）或其他方法制作，例如，通心粉、面条、汤团、馄饨、饺子、奶油面卷；古斯古斯面食，不论是否制作,48952.0
202511,502,美国,1904,谷物或谷物产品经膨化或烘炒制成的食品（例如，玉米片）；其他品目未列名的预煮或经其他方法制作的谷粒（玉米除外）、谷物片或经其他加工的谷粒（细粉、粗粒及粗粉除外）,1740657.0
202511,502,美国,1905,面包、糕点、饼干及其他焙烘糕饼，不论是否含可可；圣餐饼、装药空囊、封缄、糯米纸及类似制品,3250184.0
202511,502,美国,2001,蔬菜、水果、坚果及植物的其他食用部分，用醋或醋酸制作或保藏的,229974.0
202511,502,美国,2004,其他冷冻蔬菜，用醋或醋酸以外的其他方法制作或保藏的，品目2006的货物除外,8099497.0
202511,502,美国,2005,其他未冷冻蔬菜，用醋或醋酸以外的其他方法制作或保藏的，品目2006的货物除外,3766459.0
202511,502,美国,2006,糖渍蔬菜、水果、坚果、果皮及植物的其他部分（沥干、糖渍或裹糖的）,1086.0
202511,502,美国,2007,烹煮的果酱、果冻、柑桔酱、果泥及果膏，不论是否加糖或其他甜物质,250167.0
202511,502,美国,2008,用其他方法制作或保藏的其他品目未列名水果、坚果及植物的其他食用部分，不论是否加酒、加糖或其他甜物质,17284225.0
202511,502,美国,2009,未发酵及未加酒精的水果汁或坚果汁（包括酿酒葡萄汁及椰子水）、蔬菜汁，不论是否加糖或其他甜物质,7128899.0
202511,502,美国,2101,咖啡、茶、马黛茶的浓缩精汁及以其为基本成分或以咖啡、茶、马黛茶为基本成分的制品；烘焙菊苣和其他烘焙咖啡代用品及其浓缩汁,1548056.0
202511,502,美国,2102,酵母（活性或非活性）；已死的其他单细胞微生物（不包括品目3002的疫苗）；发酵粉,649743.0
202511,502,美国,2103,调味汁及其制品；混合调味品；芥子粉及其调制品,7953301.0
202511,502,美国,2104,汤料及其制品；均化混合食品,45860.0
202511,502,美国,2106,其他品目未列名的食品,810450433.0
202511,502,美国,2201,未加糖或其他甜物质及未加味的水，包括天然或人造矿泉水及汽水；冰及雪,11209.0
