Date of data,Trading partner code,Trading partner,Commodity code,Commodity,Renminbi Yuan
202402,502,United States,0101,"Live horses, asses, mules and hinnies",1756909
202402,502,United States,0105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",29927941
202402,502,United States,0106,Other live animals,2238178
202402,502,United States,0201,"Meat of bovine animals, fresh or chilled",139893784
202402,502,United States,0202,"Meat of bovine animals, frozen",481220144
202402,502,United States,0203,"Meat of swine, fresh, chilled or frozen",65795624
202402,502,United States,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen",397759146
202402,502,United States,0207,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen",161861428
202402,502,United States,0301,Live fish,226632
202402,502,United States,0303,"Fish, frozen, excluding fish fillets and other fish meat of heading 0304",41996320
202402,502,United States,0304,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen",12419226
202402,502,United States,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked crustaceans, whether in shell or not, whether or not cooked before or during the smoking process; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine",351482222
202402,502,United States,0307,"Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked molluscs, whether in shell or not, whether or not cooked before or during the smoking process",134461083
202402,502,United States,0308,"Aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; smoked aquatic invertebrates other than crustaceans and molluscs, whether or not cooked before or during the smoking process",57351
202402,502,United States,0401,"Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",5911
202402,502,United States,0402,"Milk and cream, concentrated or containing added sugar or other sweetening matter",11522970
202402,502,United States,0403,"Yogurt; buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa",262128
202402,502,United States,0404,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",85738830
202402,502,United States,0406,Cheese and curd,12702452
202402,502,United States,0504,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked",158700644
202402,502,United States,0505,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers (whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation;powder and waste of feathers or parts of feathers",6215885
202402,502,United States,0507,"Ivory, tortoiseshell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared but not cut to shape; powder and waste of these products",2327301
202402,502,United States,0511,"Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption",36753302
202402,502,United States,0602,"Other live plants (including their roots), cuttings and slips; mushroom spawn.",1037836
202402,502,United States,0604,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh,dried, dyed, bleached, impregnated or otherwise prepared",122864
202402,502,United States,0710,"Vegetables (uncooked or cooked by steaming or boiling in water),frozen.",2095186
202402,502,United States,0713,"Dried leguminous vegetables, shelled, whether or not skinned or split.",21221029
202402,502,United States,0802,"Other nuts, fresh or dried, whether or not shelled or peeled.",356931328
202402,502,United States,0805,"Citrus fruit, fresh or dried.",17094959
202402,502,United States,0806,"Grapes, fresh or dried.",4695021
202402,502,United States,0808,"Apples, pears and quinces, fresh.",11818831
202402,502,United States,0811,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter.",2944597
202402,502,United States,0813,"Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this Chapter.",1752199
