Date of data,Trading partner code,Trading partner,Commodity code,Commodity,Renminbi Yuan
202312,502,United States,101,"Live horses, asses, mules and hinnies",6630739.0
202312,502,United States,103,Live swine,37132737.0
202312,502,United States,105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",3742297.0
202312,502,United States,106,Other live animals,3285814.0
202312,502,United States,201,"Meat of bovine animals, fresh or chilled",197405532.0
202312,502,United States,202,"Meat of bovine animals, frozen",610936649.0
202312,502,United States,203,"Meat of swine, fresh, chilled or frozen",55284684.0
202312,502,United States,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen",360022578.0
202312,502,United States,207,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen",361588898.0
202312,502,United States,301,Live fish,245830.0
202312,502,United States,303,"Fish, frozen, excluding fish fillets and other fish meat of heading 0304",242991569.0
202312,502,United States,304,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen",44597973.0
202312,502,United States,306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked crustaceans, whether in shell or not, whether or not cooked before or during the smoking process; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine",327227569.0
202312,502,United States,307,"Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked molluscs, whether in shell or not, whether or not cooked before or during the smoking process",129024402.0
202312,502,United States,308,"Aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; smoked aquatic invertebrates other than crustaceans and molluscs, whether or not cooked before or during the smoking process",114591.0
202312,502,United States,401,"Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",67135.0
202312,502,United States,402,"Milk and cream, concentrated or containing added sugar or other sweetening matter",8802462.0
202312,502,United States,403,"Yogurt; buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa",176280.0
202312,502,United States,404,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",129171820.0
202312,502,United States,405,Butter and other fats and oils derived from milk; dairy spreads,3145.0
202312,502,United States,406,Cheese and curd,29810703.0
202312,502,United States,409,atural honey,324.0
202312,502,United States,504,"Guts, bladders and stomachs of animals (other than fish), wholeand pieces thereof, fresh, chilled, frozen, salted, in brine, dried orsmoked",203782107.0
202312,502,United States,505,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers (whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation;powder and waste of feathers or parts of feathers",6938159.0
202312,502,United States,511,"Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption",60477664.0
202312,502,United States,602,"Other live plants (including their roots), cuttings and slips; mushroom spawn.",1519026.0
202312,502,United States,604,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh,dried, dyed, bleached, impregnated or otherwise prepared",3617.0
202312,502,United States,701,"Potatoes, fresh or chilled.",154.0
202312,502,United States,710,"Vegetables (uncooked or cooked by steaming or boiling in water),frozen.",805486.0
202312,502,United States,713,"Dried leguminous vegetables, shelled, whether or not skinned or split.",32954690.0
202312,502,United States,802,"Other nuts, fresh or dried, whether or not shelled or peeled.",1708883334.0
202312,502,United States,805,"Citrus fruit, fresh or dried.",1038819.0
202312,502,United States,806,"Grapes, fresh or dried.",3368024.0
202312,502,United States,808,"Apples, pears and quinces, fresh.",36287138.0
