Date of data,Trading partner code,Trading partner,Commodity code,Commodity,Renminbi Yuan
202404,502,United States,0105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",30859113
202404,502,United States,0106,Other live animals,2112671
202404,502,United States,0201,"Meat of bovine animals, fresh or chilled",232289800
202404,502,United States,0202,"Meat of bovine animals, frozen",740023169
202404,502,United States,0203,"Meat of swine, fresh, chilled or frozen",58388876
202404,502,United States,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen",471041976
202404,502,United States,0207,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen",226375901
202404,502,United States,0209,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",4533539
202404,502,United States,0301,Live fish,736935
202404,502,United States,0303,"Fish, frozen, excluding fish fillets and other fish meat of heading 0304",382173755
202404,502,United States,0304,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen",22778268
202404,502,United States,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked crustaceans, whether in shell or not, whether or not cooked before or during the smoking process; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine",130313376
202404,502,United States,0307,"Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked molluscs, whether in shell or not, whether or not cooked before or during the smoking process",67435453
202404,502,United States,0401,"Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",19323
202404,502,United States,0402,"Milk and cream, concentrated or containing added sugar or other sweetening matter",10932267
202404,502,United States,0403,"Yogurt; buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa",122455
202404,502,United States,0404,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",144196317
202404,502,United States,0405,Butter and other fats and oils derived from milk; dairy spreads,324
202404,502,United States,0406,Cheese and curd,32153593
202404,502,United States,0504,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked",237631430
202404,502,United States,0505,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers (whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation;powder and waste of feathers or parts of feathers",7620247
202404,502,United States,0507,"Ivory, tortoiseshell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared but not cut to shape; powder and waste of these products",1894224
202404,502,United States,0511,"Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption",44841390
202404,502,United States,0601,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower; chicory plants and roots other than roots of heading 12.12.",442315
202404,502,United States,0602,"Other live plants (including their roots), cuttings and slips; mushroom spawn.",5558316
202404,502,United States,0604,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh,dried, dyed, bleached, impregnated or otherwise prepared",14570
202404,502,United States,0710,"Vegetables (uncooked or cooked by steaming or boiling in water),frozen.",2041472
202404,502,United States,0713,"Dried leguminous vegetables, shelled, whether or not skinned or split.",16363337
202404,502,United States,0802,"Other nuts, fresh or dried, whether or not shelled or peeled.",330305101
202404,502,United States,0805,"Citrus fruit, fresh or dried.",45553987
202404,502,United States,0806,"Grapes, fresh or dried.",7914423
202404,502,United States,0808,"Apples, pears and quinces, fresh.",10059392
202404,502,United States,0811,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter.",1293448
202404,502,United States,0813,"Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this Chapter.",5516954
202404,502,United States,0901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion.",17232075
202404,502,United States,0902,"Tea, whether or not flavoured.",663579
202404,502,United States,0904,Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta.,682151
202404,502,United States,1001,Wheat and meslin.,677570667
202404,502,United States,1004,Oats,1710732
202404,502,United States,1005,Maize (corn).,211295364
202404,502,United States,1007,Grain sorghum.,1687955381
202404,502,United States,1101,Wheat or meslin flour.,93392
202404,502,United States,1104,"Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground.",113275
202404,502,United States,1105,"Flour, meal, powder, flakes, granules and pellets of potatoes.",2575746
202404,502,United States,1106,"Flour, meal and powder of the dried leguminous vegetables of heading 07.13, of sago or of roots or tubers of heading 07.14 or of the products of Chapter 8.",960718
202404,502,United States,1108,tarches; inulin.,51042
202404,502,United States,1201,"Soya beans, whether or not broken.",10062924726
202404,502,United States,1202,"Groundnuts, not roasted or otherwise cooked, whether or not shelled or broken.",50789650
202404,502,United States,1206,"Sunflower seeds, whether or not broken.",2957200
202404,502,United States,1207,"Other oil seeds and oleaginous fruits, whether or not broken.",21884074
202404,502,United States,1209,"Seeds, fruit and spores, of a kind used for sowing.",130778498
202404,502,United States,1210,"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin.",8344763
202404,502,United States,1211,"lants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered.",18814003
202404,502,United States,1214,"wedes, mangolds, fodder roots, hay, lucerne (alfalfa), clover, sainfoin, forage kale, lupines, vetches and similar forage products, whether or not in the form of pellets.",287000228
202404,502,United States,1301,"Lac; natural gums, resins, gumresins and oleoresins (for example, balsams).",2325795
202404,502,United States,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agaragar and other mucilages and thickeners, whether or not modified, derived from vegetable products.",23707798
202404,502,United States,1404,Vegetable products not elsewhere specified or included.,3141597
202404,502,United States,1504,"ats and oils and their fractions, of fish or marine mammals, whether or not refined, but not chemically modified.",41418157
202404,502,United States,1506,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified.",18874328
202404,502,United States,1508,"Groundnut oil and its fractions, whether or not refined, but not chemically modified.",272814
202404,502,United States,1509,"Olive oil and its fractions, whether or not refined, but not chemically modified.",11946
202404,502,United States,1512,"unflowerseed, safflower or cottonseed oil and fractions thereof, whether or not refined, but not chemically modified.",52754
202404,502,United States,1513,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified.",19474
202404,502,United States,1514,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified.",371
202404,502,United States,1515,"Other fixed vegetable or microbial fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified",40041055
202404,502,United States,1516,"Animal，vegetable or microbial fats and oils and their fractions, partly or wholly hydrogenated, interesterified, reesterified or elaidinised, whether or not refined, but not further prepared.",383344
202404,502,United States,1517,"Margarine; edible mixtures or preparations of animal, vegetable or microbial fats or oils or of fractions of different fats or oils of this Chapter, other than edible fats and oils or their fractions of heading 15.16.",87268398
202404,502,United States,1518,"Animal, vegetable or microbial fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading 15.16; inedible mixtures or preparations of animal, vegetable or microbial fats or oils or of fractions of different fats or oils of this Chapter, not elsewhere specified or included",3327033
202404,502,United States,1520,"Glycerol, crude; glycerol waters and glycerol lyes.",391598
202404,502,United States,1521,"egetable waxes (other than triglycerides), beeswax, other insect waxes and spermaceti, whether or not refined or coloured.",771293
202404,502,United States,1602,"Other prepared or preserved meat, meat offal, blood or insects",59537646
202404,502,United States,1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs.,1202023
202404,502,United States,1701,"Cane or beet sugar and chemically pure sucrose, in solid form.",2259
202404,502,United States,1702,"Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavouring or colouring matter; artificial honey, whether or not mixed with natural honey; caramel.",60270906
202404,502,United States,1704,"ugar confectionery (including white chocolate), not containing cocoa.",70397610
202404,502,United States,1805,"Cocoa powder, not containing added sugar or other sweetening matter",323757
202404,502,United States,1806,hocolate and other food preparations containing cocoa.,17753758
202404,502,United States,1901,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of headings 04.01 to 04.04,not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally efatted basis, not elsewhere specified or included.",9201679
202404,502,United States,1902,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared.",16987
202404,502,United States,1904,"repared foods obtained by the swelling or roasting of cereals or cereal products (for example, corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (except flour, groats and meal), precooked, or otherwise prepared, not elsewhere specified or included.",2439293
202404,502,United States,1905,"read, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products.",3206523
202404,502,United States,2001,"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid.",151045
202404,502,United States,2002,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid.,14129
202404,502,United States,2004,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading 20.06.",11091849
202404,502,United States,2005,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 20.06.",786820
202404,502,United States,2006,"Vegetables, fruit, nuts, fruitpeel and other parts of plants, preserved by sugar (drained, glacé or crystallised).",1264650
202404,502,United States,2007,"Jams, fruit jellies, marmalades, fruit or nut purée and fruit or nut pastes, obtained by cooking, whether or not containing added sugar or other sweetening matter.",170637
202404,502,United States,2008,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included.",144448859
202404,502,United States,2009,"Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter",21160045
202404,502,United States,2101,"Extracts, essences and concentrates, of coffee, tea or maté and preparations with a basis of these products or with a basis of coffee, tea or mate; roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof",4093888
202404,502,United States,2102,"Yeasts (active or inactive); other singlecell microorganisms, dead (but not including vaccines of heading 30.02); prepared baking powders.",6229471
202404,502,United States,2103,"Sauce and preparations therefor; mixed condiments and mixed seasonings; mustard flour and meal, whether or not prepared, and mustard",16384541
202404,502,United States,2104,Soups and broths and preparations therefor; homogenised composite food preparations.,61135
202404,502,United States,2105,"Ice cream and other edible ice, whether or not containing cocoa.",12638310
202404,502,United States,2106,Food preparations not elsewhere specified or included.,888884636
