Date of data,Trading partner code,Trading partner,Commodity code,Commodity,Renminbi Yuan
202412,502,United States,105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",11323348.0
202412,502,United States,106,Other live animals,3199190.0
202412,502,United States,201,"Meat of bovine animals, fresh or chilled",197325866.0
202412,502,United States,202,"Meat of bovine animals, frozen",671849676.0
202412,502,United States,203,"Meat of swine, fresh, chilled or frozen",106985870.0
202412,502,United States,206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen",514944658.0
202412,502,United States,207,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen",126764983.0
202412,502,United States,209,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",3832959.0
202412,502,United States,303,"Fish, frozen, excluding fish fillets and other fish meat of heading 0304",315113326.0
202412,502,United States,304,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen",21841794.0
202412,502,United States,306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked crustaceans, whether in shell or not, whether or not cooked before or during the smoking process; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine",220932138.0
202412,502,United States,307,"Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked molluscs, whether in shell or not, whether or not cooked before or during the smoking process",265543528.0
202412,502,United States,308,"Aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; smoked aquatic invertebrates other than crustaceans and molluscs, whether or not cooked before or during the smoking process",552467.0
202412,502,United States,401,"Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",21825.0
202412,502,United States,402,"Milk and cream, concentrated or containing added sugar or other sweetening matter",20130162.0
202412,502,United States,403,"Yogurt; buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa",139770.0
202412,502,United States,404,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",152620374.0
202412,502,United States,405,Butter and other fats and oils derived from milk; dairy spreads,1405173.0
202412,502,United States,406,Cheese and curd,30946316.0
202412,502,United States,504,"Guts, bladders and stomachs of animals (other than fish), wholeand pieces thereof, fresh, chilled, frozen, salted, in brine, dried orsmoked",208820685.0
202412,502,United States,505,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers (whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation;powder and waste of feathers or parts of feathers",4469461.0
202412,502,United States,508,"Coral and similar materials, unworked or simply prepared bunot otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttlebone, unworked or simply prepared bunot cut to shape, powder and waste thereof",207065.0
202412,502,United States,511,"Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption",35046064.0
202412,502,United States,602,"Other live plants (including their roots), cuttings and slips; mushroom spawn.",1646076.0
202412,502,United States,604,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh,dried, dyed, bleached, impregnated or otherwise prepared",23111.0
202412,502,United States,713,"Dried leguminous vegetables, shelled, whether or not skinned or split.",34621604.0
202412,502,United States,802,"Other nuts, fresh or dried, whether or not shelled or peeled.",1417386396.0
202412,502,United States,806,"Grapes, fresh or dried.",1768596.0
202412,502,United States,808,"Apples, pears and quinces, fresh.",25129506.0
202412,502,United States,809,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh.",7135767.0
202412,502,United States,811,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter.",1064101.0
202412,502,United States,813,"Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this Chapter.",644478.0
202412,502,United States,901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion.",9069255.0
202412,502,United States,902,"Tea, whether or not flavoured.",200983.0
202412,502,United States,903,Maté,177.0
202412,502,United States,904,Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta.,330140.0
202412,502,United States,909,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries.",653.0
202412,502,United States,1001,Wheat and meslin.,42242.0
202412,502,United States,1005,Maize (corn).,14216486.0
202412,502,United States,1007,Grain sorghum.,311692705.0
202412,502,United States,1101,Wheat or meslin flour.,197875.0
202412,502,United States,1102,Cereal flours other than of wheat or meslin.,640586.0
202412,502,United States,1104,"Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground.",106883.0
202412,502,United States,1105,"Flour, meal, powder, flakes, granules and pellets of potatoes.",971172.0
202412,502,United States,1106,"Flour, meal and powder of the dried leguminous vegetables of heading 07.13, of sago or of roots or tubers of heading 07.14 or of the products of Chapter 8.",100340.0
202412,502,United States,1107,"Malt, whether or not roasted.",50724.0
202412,502,United States,1108,tarches; inulin.,1443317.0
202412,502,United States,1201,"Soya beans, whether or not broken.",14187976530.0
202412,502,United States,1202,"Groundnuts, not roasted or otherwise cooked, whether or not shelled or broken.",54533152.0
202412,502,United States,1206,"Sunflower seeds, whether or not broken.",52785.0
202412,502,United States,1207,"Other oil seeds and oleaginous fruits, whether or not broken.",18869.0
202412,502,United States,1209,"Seeds, fruit and spores, of a kind used for sowing.",36041616.0
202412,502,United States,1210,"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin.",4045102.0
202412,502,United States,1211,"lants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered.",9187021.0
202412,502,United States,1212,"Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sativum) of a kind used primarily for human consumption, not elsewhere specified or included.",9723.0
202412,502,United States,1214,"wedes, mangolds, fodder roots, hay, lucerne (alfalfa), clover, sainfoin, forage kale, lupines, vetches and similar forage products, whether or not in the form of pellets.",185173571.0
202412,502,United States,1301,"Lac; natural gums, resins, gumresins and oleoresins (for example, balsams).",1109409.0
202412,502,United States,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agaragar and other mucilages and thickeners, whether or not modified, derived from vegetable products.",11073013.0
202412,502,United States,1404,Vegetable products not elsewhere specified or included.,2027226.0
202412,502,United States,1504,"ats and oils and their fractions, of fish or marine mammals, whether or not refined, but not chemically modified.",27322927.0
202412,502,United States,1506,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified.",3339414.0
202412,502,United States,1508,"Groundnut oil and its fractions, whether or not refined, but not chemically modified.",279201.0
202412,502,United States,1509,"Olive oil and its fractions, whether or not refined, but not chemically modified.",20585.0
202412,502,United States,1510,"Other oils and their fractions, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading 15.09",182.0
202412,502,United States,1512,"unflowerseed, safflower or cottonseed oil and fractions thereof, whether or not refined, but not chemically modified.",49899.0
202412,502,United States,1513,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified.",17445.0
202412,502,United States,1514,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified.",498.0
202412,502,United States,1515,"Other fixed vegetable or microbial fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified",25791885.0
202412,502,United States,1516,"Animal,vegetable or microbial fats and oils and their fractions, partly or wholly hydrogenated, interesterified, reesterified or elaidinised, whether or not refined, but not further prepared.",2514295.0
202412,502,United States,1517,"Margarine; edible mixtures or preparations of animal, vegetable or microbial fats or oils or of fractions of different fats or oils of this Chapter, other than edible fats and oils or their fractions of heading 15.16.",32660086.0
