Date of data,Trading partner code,Trading partner,Commodity code,Commodity,Renminbi Yuan
201504,502,United States,0101,"Live horses, asses, mules and hinnies",1316829
201504,502,United States,0106,Other live animals,3933681
201504,502,United States,0203,"Meat of swine, fresh, chilled or frozen",55088028
201504,502,United States,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen",162843939
201504,502,United States,0207,"Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen",9066151
201504,502,United States,0301,Live fish,251966
201504,502,United States,0303,"Fish, frozen, excluding fish fillets and other fish meat of heading 0304",481973054
201504,502,United States,0304,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen",17914528
201504,502,United States,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked crustaceans, whether in shell or not, whether or not cooked before or during the smoking process; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine; flours, meals and pellets of crustaceans, fit for human consumption",164772221
201504,502,United States,0307,"Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked molluscs, whether in shell or not, whether or not cooked before or during the smoking process; flours, meals and pellets of molluscs, fit for human consumption",29639095
201504,502,United States,0308,"Aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; smoked aquatic invertebrates other than crustaceans and molluscs, whether or not cooked before or during the smoking process; flours, meals and pellets of aquatic invertebrates other than crustaceans and molluscs, fit for human consumption",225852
201504,502,United States,0401,"Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",358733
201504,502,United States,0402,"Milk and cream, concentrated or containing added sugar or other sweetening matter",34121264
201504,502,United States,0403,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa",920321
201504,502,United States,0404,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",114826001
201504,502,United States,0406,Cheese and curd,39408397
201504,502,United States,0409,atural honey,560153
201504,502,United States,0410,"dible products of animal origin, not elsewhere specified or included",20736
201504,502,United States,0504,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked",33831859
201504,502,United States,0505,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers (whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation;powder and waste of feathers or parts of feathers",25283470
201504,502,United States,0508,"Coral and similar materials, unworked or simply prepared bunot otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttlebone, unworked or simply prepared bunot cut to shape, powder and waste thereof",86000
201504,502,United States,0511,"Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption",9630173
201504,502,United States,0601,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower; chicory plants and roots other than roots of heading 12.12.",26365
201504,502,United States,0602,"Other live plants (including their roots), cuttings and slips; mushroom spawn.",21474174
