Date of data,Trading partner code,Trading partner,Commodity code,Commodity,US dollar
202510,502,United States,80212,"Shelled almonds, fresh or dried, whether or not shelled or peeled.",1053406.0
202510,502,United States,80232,Shelled walnuts,160326.0
202510,502,United States,80251,In shell pistachios,300080.0
202510,502,United States,80299,"Other nuts, fresh or dried",445034.0
202510,502,United States,80620,Dried Grapes,536115.0
202510,502,United States,80810,Fresh Apples,97395.0
202510,502,United States,80940,Fresh Plums and sloes,890469.0
202510,502,United States,81320,Dried Prunes,104471.0
202510,502,United States,81330,Dried Apples,1375.0
202510,502,United States,81340,Other Dried fruit,29160.0
202510,502,United States,90111,Coffee not roasted (not decaffeinated),7111.0
202510,502,United States,90121,Coffee roasted (Not decaffeinated ),832834.0
202510,502,United States,90122,Coffee roasted(Decaffeinated ),21380.0
202510,502,United States,90210,Green tea (not fermented) in immediate packings of a content not exceeding 3 kg,7519.0
202510,502,United States,90230,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",23072.0
202510,502,United States,90240,"Black tea (fermented) and partly fermented tea, in packings exceeding 3 kg",92.0
202510,502,United States,100410,Oats seed for sowing.,48907.0
202510,502,United States,110100,Wheat or meslin flour.,10425.0
202510,502,United States,110290,"Cereal flours (excluding wheat, meslin and maize)",20984.0
202510,502,United States,110630,Of the products of Chapter 8,971.0
202510,502,United States,110812,Maize (corn) starch,56364.0
202510,502,United States,110820,Inulin,198.0
202510,502,United States,120241,In shell groundnuts,210059.0
202510,502,United States,120923,Fescue seeds,1117663.0
202510,502,United States,120924,Kentucky blue grass (Poa pratensis L.) seeds,1835700.0
202510,502,United States,120925,"Rye grass (Lolium multiflorum Lam., Lolium perenne L.) seeds",1732439.0
202510,502,United States,120991,Vegetable seeds,265103.0
202510,502,United States,120999,"Seeds, fruits and spores, for sowing (excluding leguminous vegetables and sweetcorn, coffee, tea, maté and spices, cereals, oil seeds and oleaginous fruits, beets, forage plants, vegetable seeds, and seeds of herbaceous plants cultivated mainly for flowers or used primarily in perfumery, medicaments or for insecticidal, fungicidal or similar purposes)",355900.0
202510,502,United States,121020,"Hop cones, ground, powdered or in the form of pellets; lupulin",333686.0
202510,502,United States,121120,Ginseng roots,11045.0
202510,502,United States,121190,"Other plants and parts of plants, of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes",101359.0
202510,502,United States,121490,"Other forage products, whether or not in the form of pellets",21324777.0
202510,502,United States,130120,Gum Arabic,104.0
