Date of data,Trading partner code,Trading partner,Commodity code,Commodity,US dollar
202204,502,United States,10511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",1812100.0
202204,502,United States,10619,Other mammals,422315.0
202204,502,United States,10649,Other insects,13557.0
202204,502,United States,10690,Other lives animals,2024.0
202204,502,United States,20120,Other cuts with bone in,267598.0
202204,502,United States,20130,Boneless,16622771.0
202204,502,United States,20220,Other cuts with bone in,14231334.0
202204,502,United States,20230,Boneless,87470714.0
202204,502,United States,20322,"Hams, shoulders and cuts thereof, with bone in",10067172.0
202204,502,United States,20329,Other frozen meat of swine,4580194.0
202204,502,United States,20621,"Tongues of bovine animals,frozen",438095.0
202204,502,United States,20622,"Livers of bovine animals,frozen",37120.0
202204,502,United States,20629,"Other edible offal of bovine animals,frozen",8069536.0
202204,502,United States,20649,"Other edible offal of swine,frozen",45011449.0
202204,502,United States,20714,"Cuts and offal, frozen",123746296.0
202204,502,United States,20727,"Cuts and offal of turkeys , frozen",3279187.0
202204,502,United States,30311,"Sockeye salmon (red salmon) (Oncorhynchus nerka) ,frozen",247091.0
202204,502,United States,30312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) ,frozen",1540038.0
202204,502,United States,30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",17698610.0
202204,502,United States,30363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",9875060.0
202204,502,United States,30367,"Alaska Pollack (Theragra chalcogramma) ,frozen",3656546.0
202204,502,United States,30389,"Other fish ,frozen",1474932.0
202204,502,United States,30391,"Livers, roes and milt,frozen",256500.0
202204,502,United States,30399,"Other fish fins, heads, tails, maws and other edible fish offal,frozen",80837.0
202204,502,United States,30475,Frozen fillets of Alaska Pollock (Theragra chalcogramma),1292037.0
202204,502,United States,30494,"Frozen meat, whether or not minced, of alaska Pollack (Theragra chalcogramma)",4998984.0
202204,502,United States,30495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",544399.0
202204,502,United States,30611,"Frozen rock lobster and other sea crawfish (Palinurus spp, Panulirus spp, Jasus spp)",455669.0
202204,502,United States,30614,Frozen crabs,91440.0
202204,502,United States,30631,"Rock lobster and other sea crawfish (Palinurus spp, Panulirus spp, Jasus spp) , whether in shell or not, live, fresh or chilled",499994.0
202204,502,United States,30632,"Lobsters (Homarus spp), whether in shell or not, live, fresh or chilled",1971183.0
202204,502,United States,30633,"Crabs , whether in shell or not, live, fresh or chilled",1660921.0
202204,502,United States,30636,"Other shrimps and prawns, whether in shell or not, live, fresh or chilled",481992.0
202204,502,United States,30743,"Frozen cuttle fish and squid, with or without shell",11898577.0
202204,502,United States,30784,Frozen stromboid conchs (Strombus spp.),442780.0
202204,502,United States,30791,"Other molluscs,live/fresh/chilled",5971506.0
202204,502,United States,30812,"Frozen sea cucumbers (Stichopus japonicus, Holothuroidea)",425790.0
202204,502,United States,30819,"Smoked, dried, salted or in brine, sea cucumbers (Stichopus japonicus, Holothurioidea)",152503.0
202204,502,United States,40120,"Milk and cream of a fat content, by weight, exceeding 1% but not exceeding 6%",1327.0
202204,502,United States,40210,"Milk and cream in powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%",7676676.0
202204,502,United States,40221,"Not containing added sugar or other sweetening matter, of a fat content, by weight, more than 1.5%",870712.0
202204,502,United States,40299,"Milk and cream, concentrated and sweetened (excluding in solid forms)",2460.0
202204,502,United States,40320,Yogurt,13968.0
202204,502,United States,40410,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",23744058.0
202204,502,United States,40490,"Products consisting of natural milk constituents, whether or not sweetened, n.e.s.",390000.0
202204,502,United States,40590,"Fats and oils derived from milk, and dehydrated butter and ghee (excluding natural butter, recombined butter and whey butter)",105040.0
202204,502,United States,40610,"Fresh (unripened or uncured) cheese, including whey cheese, and curd",12624.0
202204,502,United States,40620,"Grated or powdered cheese, of all kinds",574612.0
202204,502,United States,40630,"Processed cheese, not grated or powdered",382420.0
202204,502,United States,40690,Other cheese,561067.0
202204,502,United States,50400,"Guts, bladders and stomachs of animals (other than fish), wholeand pieces thereof, fresh, chilled, frozen, salted, in brine, dried orsmoked",39338056.0
202204,502,United States,50510,Feathers of a kind used for stuffing; down,406875.0
202204,502,United States,50590,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, whether or not with trimmed edges, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of feathers (excluding feathers used for stuffing and down)",108617.0
202204,502,United States,50800,"Coral and similar materials, unworked or simply prepared bunot otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttlebone, unworked or simply prepared bunot cut to shape, powder and waste thereof",11881.0
202204,502,United States,51110,Bovine semen,9677065.0
202204,502,United States,51191,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead animals of Chapter 3",362994.0
202204,502,United States,51199,"Unkown Products of animal origin, n.e.s., dead animals, unfit for human consumption (excluding fish, crustaceans, molluscs or other aquatic invertebrates)",206416.0
202204,502,United States,60110,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant",71177.0
202204,502,United States,60210,Unrooted cuttings and slips,1650.0
202204,502,United States,60220,"Trees, shrubs and bushes, grafted or not, of kinds which bear edible fruit or nuts",5262.0
202204,502,United States,60290,Other live plant,418505.0
202204,502,United States,60390,"Dried, dyed, bleached, impregnated or otherwise prepared cut flowers and buds, of a kind suitable for bouquets or for ornamental purposes",6993.0
202204,502,United States,60420,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh",1245.0
202204,502,United States,71021,Frozen peas (Pisum sativum),7813.0
202204,502,United States,71040,"Sweet corn,frozen.",1151575.0
202204,502,United States,71080,"Other vegetables (uncooked or cooked by steaming or boiling in water),frozen.",161791.0
202204,502,United States,71090,"Mixtures of vegetables,frozen.",5138.0
202204,502,United States,71290,"Dried other vegetables; mixtures of vegetables, whole, cut, sliced, broken or in powder, but not further prepared.",494.0
202204,502,United States,71310,"Dried peas (Pisum sativum), shelled, whether or not skinned or split.",248106.0
202204,502,United States,71333,"Dried kidney beans, including white pea beans (Phaseolus vulgaris), shelled, whether or not skinned or split.",95204.0
202204,502,United States,71340,"Dried, shelled lentils",329628.0
202204,502,United States,80111,Desiccated coconuts,2066.0
202204,502,United States,80211,"In shell almonds, fresh or dried, whether or not shelled or peeled.",7078559.0
202204,502,United States,80212,"Shelled almonds, fresh or dried, whether or not shelled or peeled.",3202094.0
202204,502,United States,80221,In shell hazelnuts or filberts (Corylus spp.),1793778.0
202204,502,United States,80231,In shell walnuts,26455.0
202204,502,United States,80232,Shelled walnuts,11795.0
202204,502,United States,80251,In shell pistachios,2318808.0
202204,502,United States,80261,In shell macadamia nuts,3137459.0
202204,502,United States,80299,"Other nuts, fresh or dried",5538170.0
202204,502,United States,80510,Fresh or dried oranges,8194003.0
202204,502,United States,80529,Fresh or dried wilkings and similar citrus hybrids,3021.0
