Date of data,Trading partner code,Trading partner,Commodity code,Commodity,Renminbi Yuan,
202502,502,United States,0106,Other live animals,"9,971,587",
202502,502,United States,0208,"Other meat and edible meat offal, fresh, chilled or frozen","644,828",
202502,502,United States,0301,Live fish,"297,620",
202502,502,United States,0302,"Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304","1,906,566",
202502,502,United States,0303,"Fish, frozen, excluding fish fillets and other fish meat of heading 0304","31,527,418",
202502,502,United States,0304,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen","56,826,992",
202502,502,United States,0305,"Fish, dried, salted or in brine; smoked fish, whether or not  cooked before or during the smoking process","4,943,055",
202502,502,United States,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen,  dried, salted or in brine; smoked crustaceans, whether in shell  or not, whether or not cooked before or during the smoking  process; crustaceans, in shell, cooked by steaming or by boiling  in water, whether or not chilled, frozen, dried, salted or in  brine","12,631,163",
202502,502,United States,0307,"Molluscs, whether in shell or not, live, fresh, chilled, frozen,  dried, salted or in brine; smoked molluscs, whether in shell or  not, whether or not cooked before or during the smoking  process","34,741,224",
202502,502,United States,0308,"Aquatic invertebrates other than crustaceans and molluscs, live,  fresh, chilled, frozen, dried, salted or in brine; smoked aquatic  invertebrates other than crustaceans and molluscs, whether or  not cooked before or during the smoking process","4,448,978",
202502,502,United States,0401,"Milk and cream, not concentrated nor containing added sugar or other sweetening matter.","47,591",
202502,502,United States,0402,"Milk and cream, concentrated or containing added sugar or other sweetening matter","1,727",
202502,502,United States,0403,"Yogurt; buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa","634,611",
202502,502,United States,0407,"Birds' eggs, in shell, fresh, preserved or cooked","8,044,397",
202502,502,United States,0408,"Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter","3,153,239",
202502,502,United States,0410,"Insects and other edible products of animal origin, not elsewhere specified or included","1,557,669",
202502,502,United States,0502,"Pigs', hogs' or boars' bristles and hair; badger hair and other brush making hair; waste of such bristles or hair","88,065",
202502,502,United States,0504,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked","25,551,535",
202502,502,United States,0505,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers (whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation;powder and waste of feathers or parts of feathers","29,139,742",
202502,502,United States,0508,"Coral and similar materials, unworked or simply prepared bunot otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttlebone, unworked or simply prepared bunot cut to shape, powder and waste thereof","422,555",
202502,502,United States,0511,"Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption","23,747,879",
202502,502,United States,0601,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower; chicory plants and roots other than roots of heading 12.12.","195,953",
202502,502,United States,0602,"Other live plants (including their roots), cuttings and slips; mushroom spawn.","20,945,852",
202502,502,United States,0603,"Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared.","6,229,615",
202502,502,United States,0604,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh,dried, dyed, bleached, impregnated or otherwise prepared","3,352,009",
202502,502,United States,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled.","22,609,039",
202502,502,United States,0709,"Other vegetables, fresh or chilled.","14,889,348",
202502,502,United States,0710,"Vegetables (uncooked or cooked by steaming or boiling in water),frozen.","46,902,737",
202502,502,United States,0711,"Vegetables provisionally preserved, but unsuitable in that state for immediate consumption.","33,156",
202502,502,United States,0712,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared.","164,351,532",
202502,502,United States,0713,"Dried leguminous vegetables, shelled, whether or not skinned or split.","10,467,181",
202502,502,United States,0714,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes  and similar roots and tubers with high starch or inulin content,  fresh, chilled, frozen or dried, whether or not sliced or in the  form of pellets; sago pith.","9,927,748",
202502,502,United States,0802,"Other nuts, fresh or dried, whether or not shelled or peeled.","33,657,082",
202502,502,United States,0803,"Bananas, including plantains, fresh or dried.","246,426",
202502,502,United States,0804,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried.","429,600",
202502,502,United States,0805,"Citrus fruit, fresh or dried.","7,139,388",
202502,502,United States,0808,"Apples, pears and quinces, fresh.","11,403,678",
202502,502,United States,0811,"Fruit and nuts, uncooked or cooked by steaming or boiling in  water, frozen, whether or not containing added sugar or other  sweetening matter.","2,082,636",
202502,502,United States,0813,"Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this Chapter.","55,476,986",
202502,502,United States,0814,"Peel of citrus fruit or melons (including watermelons), fresh,  frozen, dried or provisionally preserved in brine, in sulphur  water or in other preservative solutions.","39,336",
202502,502,United States,0901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion.","35,800",
202502,502,United States,0902,"Tea, whether or not flavoured.","33,190,187",
202502,502,United States,0904,Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta.,"36,315,367",
202502,502,United States,0906,Cinnamon and cinnamontree flowers.,"518,013",
202502,502,United States,0907,"loves (whole fruit, cloves and stems).","110,567",
202502,502,United States,0909,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries.","959,040",
202502,502,United States,0910,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices.","31,181,098",
202502,502,United States,1008,"Buckwheat, millet and canary seeds; other cereals.","204,550",
202502,502,United States,1102,Cereal flours other than of wheat or meslin.,"3,361",
202502,502,United States,1104,"Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground.","979,943",
202502,502,United States,1106,"Flour, meal and powder of the dried leguminous vegetables of heading 07.13, of sago or of roots or tubers of heading 07.14 or of the products of Chapter 8.","6,767,669",
202502,502,United States,1108,tarches; inulin.,"2,705,530",
202502,502,United States,1109,"Wheat gluten, whether or not dried.","792,619",
202502,502,United States,1201,"Soya beans, whether or not broken.","286,141",
202502,502,United States,1206,"Sunflower seeds, whether or not broken.","261,942",
202502,502,United States,1207,"Other oil seeds and oleaginous fruits, whether or not broken.","600,502",
202502,502,United States,1208,"Flours and meals of oil seeds or oleaginous fruits, other than those of mustard.","12,162",
202502,502,United States,1209,"Seeds, fruit and spores, of a kind used for sowing.","3,131,647",
202502,502,United States,1211,"lants and parts of plants (including seeds and fruits), of a kind  used primarily in perfumery, in pharmacy or for insecticidal,  fungicidal or similar purposes, fresh, chilled, frozen or dried,  whether or not cut, crushed or powdered.","3,257,551",
202502,502,United States,1212,"Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit  stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sativum) of a kind used primarily for human consumption, not elsewhere specified or included.","34,103,540",
202502,502,United States,1302,"Vegetable saps and extracts; pectic substances, pectinates and  pectates; agaragar and other mucilages and thickeners, whether  or not modified, derived from vegetable products.","182,507,231",
202502,502,United States,1401,"Vegetable materials of a kind used primarily for plaiting (for example, bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw, and lime bark).","4,001,438",
202502,502,United States,1404,Vegetable products not elsewhere specified or included.,"4,418,109",
202502,502,United States,1504,"ats and oils and their fractions, of fish or marine mammals, whether or not refined, but not chemically modified.","25,035,353",
202502,502,United States,1505,Wool grease and fatty substances derived therefrom (including lanolin).,"824,306",
202502,502,United States,1506,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified.","87,814",
202502,502,United States,1507,"oyabean oil and its fractions, whether or not refined, but not chemically modified.","5,136",
202502,502,United States,1508,"Groundnut oil and its fractions, whether or not refined, but not chemically modified.","11,731",
202502,502,United States,1509,"Olive oil and its fractions, whether or not refined, but not chemically modified.","514,301",
202502,502,United States,1512,"unflowerseed, safflower or cottonseed oil and fractions thereof, whether or not refined, but not chemically modified.","320,720",
202502,502,United States,1513,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified.","57,570",
202502,502,United States,1514,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified.","93,732",
202502,502,United States,1515,"Other fixed vegetable or microbial fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified","10,567,555",
