"Date of data","Trading partner code","Trading partner","Commodity code","Commodity","Renminbi Yuan",
"202505","502","United States","0602","Other live plants (including their roots), cuttings and slips; mushroom spawn.","19,610,840",
"202505","502","United States","0603","Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared.","3,506,381",
"202505","502","United States","0604","Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh,dried, dyed, bleached, impregnated or otherwise prepared","9,793,575",
"202505","502","United States","0703","Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled.","39,750,996",
"202505","502","United States","0709","Other vegetables, fresh or chilled.","15,291,534",
"202505","502","United States","0710","Vegetables (uncooked or cooked by steaming or boiling in water),frozen.","75,465,798",
"202505","502","United States","0711","Vegetables provisionally preserved, but unsuitable in that state for immediate consumption.","546,031",
"202505","502","United States","0712","Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared.","151,522,552",
"202505","502","United States","0713","Dried leguminous vegetables, shelled, whether or not skinned or split.","10,093,211",
"202505","502","United States","0714","Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes 
and similar roots and tubers with high starch or inulin content, 
fresh, chilled, frozen or dried, whether or not sliced or in the 
form of pellets; sago pith.","9,918,938",
"202505","502","United States","0801","Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled.","175,283",
"202505","502","United States","0802","Other nuts, fresh or dried, whether or not shelled or peeled.","15,432,012",
"202505","502","United States","0803","Bananas, including plantains, fresh or dried.","422,557",
"202505","502","United States","0804","Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried.","2,310,654",
"202505","502","United States","0805","Citrus fruit, fresh or dried.","2,076,415",
"202505","502","United States","0806","Grapes, fresh or dried.","25,398",
"202505","502","United States","0808","Apples, pears and quinces, fresh.","4,410,300",
"202505","502","United States","0810","Other fresh fruits","11,596,527",
"202505","502","United States","0811","Fruit and nuts, uncooked or cooked by steaming or boiling in 
water, frozen, whether or not containing added sugar or other 
sweetening matter.","1,510,624",
"202505","502","United States","0813","Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this Chapter.","98,663,855",
"202505","502","United States","0814","Peel of citrus fruit or melons (including watermelons), fresh, 
frozen, dried or provisionally preserved in brine, in sulphur 
water or in other preservative solutions.","30,677",
"202505","502","United States","0901","Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion.","15,260,860",
"202505","502","United States","0902","Tea, whether or not flavoured.","17,081,013",
"202505","502","United States","0904","Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta.","28,187,536",
"202505","502","United States","0906","Cinnamon and cinnamontree flowers.","434,527",
"202505","502","United States","0907","loves (whole fruit, cloves and stems).","270,964",
"202505","502","United States","0908","Nutmeg, mace and cardamoms.","4,182",
"202505","502","United States","0909","Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries.","526,849",
"202505","502","United States","0910","Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices.","31,509,625",
"202505","502","United States","1008","Buckwheat, millet and canary seeds; other cereals.","222,436",
"202505","502","United States","1102","Cereal flours other than of wheat or meslin.","2,023",
"202505","502","United States","1104","Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground.","503,673",
"202505","502","United States","1106","Flour, meal and powder of the dried leguminous vegetables of heading 07.13, of sago or of roots or tubers of heading 07.14 or of the products of Chapter 8.","3,972,329",
"202505","502","United States","1107","Malt, whether or not roasted.","577",
"202505","502","United States","1108","tarches; inulin.","3,222,409",
"202505","502","United States","1109","Wheat gluten, whether or not dried.","44,751",
"202505","502","United States","1201","Soya beans, whether or not broken.","200,456",
