Date of data,Trading partner code,Trading partner,Commodity code,Commodity,Renminbi Yuan
202107,502,United States,71090,"Mixtures of vegetables,frozen.",57914.0
202107,502,United States,71220,"Dried Onions, whole, cut, sliced, broken or in powder, but not further prepared.",295616.0
202107,502,United States,71239,"Dried other mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared.",3633.0
202107,502,United States,71290,"Dried other vegetables; mixtures of vegetables, whole, cut, sliced, broken or in powder, but not further prepared.",79483.0
202107,502,United States,71310,"Dried peas (Pisum sativum), shelled, whether or not skinned or split.",2929812.0
202107,502,United States,71333,"Dried kidney beans, including white pea beans (Phaseolus vulgaris), shelled, whether or not skinned or split.",1324240.0
202107,502,United States,80111,Desiccated coconuts,4545.0
202107,502,United States,80211,"In shell almonds, fresh or dried, whether or not shelled or peeled.",31422954.0
202107,502,United States,80212,"Shelled almonds, fresh or dried, whether or not shelled or peeled.",56732446.0
202107,502,United States,80231,In shell walnuts,289047.0
202107,502,United States,80232,Shelled walnuts,4243943.0
202107,502,United States,80251,In shell pistachios,69898059.0
202107,502,United States,80252,Shelled pistachios,527927.0
202107,502,United States,80290,Other nuts fresh or dried,11178119.0
202107,502,United States,80510,Fresh or dried oranges,26552168.0
202107,502,United States,80610,Fresh Grapes,463041.0
202107,502,United States,80620,Dried Grapes,3861334.0
202107,502,United States,80810,Fresh Apples,2020585.0
202107,502,United States,80830,Fresh Pears,216436.0
202107,502,United States,80929,Other Fresh cherries,206595581.0
202107,502,United States,80930,"Fresh Peaches, including nectarines",231358.0
202107,502,United States,80940,Fresh Plums and sloes,13155245.0
202107,502,United States,81040,"Fresh Cranberries, bilberries and other fruits of the genus Vaccinium",70337.0
202107,502,United States,81110,Frozen Strawberries,11644.0
202107,502,United States,81190,Other Frozen Fruit and nuts,727745.0
202107,502,United States,81310,Dried Apricots,146.0
202107,502,United States,81320,Dried Prunes,6298980.0
202107,502,United States,81330,Dried Apples,240.0
202107,502,United States,81340,Other Dried fruit,5950.0
202107,502,United States,81350,Mixtures of nuts or dried fruits of this Chapter,397.0
202107,502,United States,81400,"Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.",116.0
202107,502,United States,90111,Coffee not roasted (not decaffeinated),564.0
202107,502,United States,90121,Coffee roasted (Not decaffeinated ),12072932.0
202107,502,United States,90122,Coffee roasted(Decaffeinated ),126508.0
202107,502,United States,90190,Coffee husks and skins; coffee substitutes containing coffee in any proportion,2360.0
202107,502,United States,90210,Green tea (not fermented) in immediate packings of a content not exceeding 3 kg,140690.0
202107,502,United States,90220,Other green tea (not fermented),16121.0
202107,502,United States,90230,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",93825.0
202107,502,United States,90240,"Black tea (fermented) and partly fermented tea, in packings exceeding 3 kg",2807.0
202107,502,United States,90300,Maté,487.0
202107,502,United States,90411,Neither crushed nor ground,169315.0
202107,502,United States,90412,Crushed or ground,5229.0
202107,502,United States,90421,"Dried, neither crushed nor ground",141394.0
202107,502,United States,90422,Crushed or ground,2356.0
202107,502,United States,90619,"Cinnamon and cinnamon-tree flowers (excluding cinnamon Cinnamomum zeylanicum Blume"" and crushed and ground cinnamon)""",313.0
202107,502,United States,90620,Crushed or ground,18378.0
202107,502,United States,90962,"Seeds of anise, badian, caraway or fennel; juniper berries Crushed or ground",189.0
202107,502,United States,91030,Turmeric (curcuma),34850.0
202107,502,United States,91091,Mixtures referred to in Note 1 (b) to this Chapter,10271.0
202107,502,United States,91099,Other spices,25059.0
202107,502,United States,100119,Durum wheat( excluding seed for sowing),133560031.0
202107,502,United States,100199,"Wheat and meslin (excluding seed for sowing, and durum wheat)",527216329.0
202107,502,United States,100410,Oats seed for sowing.,960817.0
202107,502,United States,100490,Oats (excluding seed for sowing),635.0
202107,502,United States,100590,Maize (corn) (excluding seed for sowing),4642051320.0
202107,502,United States,100610,Rice in the husk (paddy or rough),623.0
202107,502,United States,100620,Husked (brown) rice,25309.0
202107,502,United States,100630,"Semimilled or wholly milled rice, whether or not polished or glazed",31583.0
202107,502,United States,100790,Grain sorghum (excluding seed for sowing),1909145543.0
202107,502,United States,100890,Other cereals,1257.0
202107,502,United States,110100,Wheat or meslin flour.,14668.0
202107,502,United States,110290,"Cereal flours (excluding wheat, meslin and maize)",132857.0
202107,502,United States,110319,Groats and meal Of other cereals,28675.0
202107,502,United States,110412,Rolled or flaked grains of oats,7831.0
202107,502,United States,110419,Rolled or flaked grains of cereals (excluding oats),1528.0
202107,502,United States,110422,"Hulled, pearled, sliced, kibbled or otherwise worked oat grains (excluding rolled, flaked, pellets and flour)",3594.0
202107,502,United States,110423,"Hulled, pearled, sliced, kibbled or otherwise worked maize grains (excluding rolled, flaked, pellets and flour)",1268.0
202107,502,United States,110429,"Grains of cereals, hulled, pearled, sliced, kibbled or otherwise worked (excluding rolled, flaked, flour, pellets, and oats and maize, and husked and semi- or wholly milled rice and broken rice)",391.0
202107,502,United States,110430,"Germ of cereals, whole, rolled, flaked or ground",1768.0
202107,502,United States,110510,"Flour, meal and powder",921974.0
202107,502,United States,110610,Of the dried leguminous vegetables of heading 07.13,3168994.0
202107,502,United States,110630,Of the products of Chapter 8,356875.0
202107,502,United States,110710,Malt (excluding roasted),48202.0
202107,502,United States,110720,Roasted malt,17644.0
202107,502,United States,110812,Maize (corn) starch,1654220.0
202107,502,United States,110813,Potato starch,138.0
202107,502,United States,110819,Other starches,70441.0
202107,502,United States,110820,Inulin,3613.0
202107,502,United States,120190,Other Soya beans,166479224.0
202107,502,United States,120241,In shell groundnuts,44976496.0
202107,502,United States,120242,"Shelled groundnuts, whether or not broken",2586775.0
202107,502,United States,120300,Copra.,2450.0
202107,502,United States,120400,"Linseed, whether or not broken.",470.0
202107,502,United States,120600,"Sunflower seeds, whether or not broken.",97815.0
202107,502,United States,120721,"Cotton seeds,for sowing",2190.0
202107,502,United States,120729,Other cotton,1553144.0
202107,502,United States,120750,Mustard seeds,182982.0
202107,502,United States,120770,Melon seeds,480.0
202107,502,United States,120799,Other,8499.0
202107,502,United States,120890,Flours and meal of oil seeds or oleaginous fruit (excluding soya and mustard),3053.0
202107,502,United States,120922,Clover (Trifolium spp.) seeds,5359035.0
202107,502,United States,120923,Fescue seeds,31211399.0
202107,502,United States,120924,Kentucky blue grass (Poa pratensis L.) seeds,17776425.0
202107,502,United States,120925,"Rye grass (Lolium multiflorum Lam., Lolium perenne L.) seeds",14189075.0
202107,502,United States,120930,Seeds of herbaceous plants cultivated principally for their flowers,1884097.0
202107,502,United States,120991,Vegetable seeds,8372962.0
202107,502,United States,120999,"Seeds, fruits and spores, for sowing (excluding leguminous vegetables and sweetcorn, coffee, tea, maté and spices, cereals, oil seeds and oleaginous fruits, beets, forage plants, vegetable seeds, and seeds of herbaceous plants cultivated mainly for flowers or used primarily in perfumery, medicaments or for insecticidal, fungicidal or similar purposes)",12239430.0
202107,502,United States,121020,"Hop cones, ground, powdered or in the form of pellets; lupulin",3442565.0
202107,502,United States,121120,Ginseng roots,18226076.0
202107,502,United States,121190,Other,74508.0
202107,502,United States,121221,Fit for human consumption,618.0
202107,502,United States,121299,"Fruit stones and kernels and other vegetable products, incl. unroasted chicory roots of the variety cichorium intybus sativum, of a kind used primarily for human consumption, n.e.s.",1871.0
202107,502,United States,121490,Other,339125613.0
202107,502,United States,130212,Extracts of liquorice (excluding that with a sucrose content by weight of ＞ 10% or in the form of confectionery),17450.0
202107,502,United States,130219,"Mucilages and thickeners, derived from locust beans, locust bean seeds or guar seeds, whether or not modified",1641799.0
202107,502,United States,130220,"Pectic substances, pectinates and pectates",2624.0
202107,502,United States,130231,Agaragar,157199.0
202107,502,United States,130232,"Mucilages and thickeners, whether or not modified, derived from locust beans, locust bean seeds or guar seeds",941115.0
202107,502,United States,130239,Other,9635281.0
202107,502,United States,140420,Cotton linters,4498512.0
202107,502,United States,140490,Other,22353.0
202107,502,United States,150290,Other,65314.0
202107,502,United States,150410,Fishliver oils and their fractions,496604.0
202107,502,United States,150420,"Fats and oils and their fractions, of fish, other than liver oils",22055481.0
202107,502,United States,150600,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified.",406949.0
202107,502,United States,150810,Crude oil,4625468.0
