Date of data,Trading partner code,Trading partner,Commodity code,Commodity,Renminbi Yuan
201604,502,United States,010619,Other mammals,2191057
201604,502,United States,010620,Reptiles (including snakes and turtles),1049333
201604,502,United States,010649,Other insects,5884
201604,502,United States,010690,Other lives animals,190
201604,502,United States,020322,"Hams, shoulders and cuts thereof, with bone in",84034916
201604,502,United States,020329,Other frozen meat of swine,123984174
201604,502,United States,020649,"Other edible offal of swine,frozen",381408101
201604,502,United States,020910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",606421
201604,502,United States,030119,Other ornamental fish,113126
201604,502,United States,030311,"Sockeye salmon (red salmon) (Oncorhynchus nerka) ,frozen",1756348
201604,502,United States,030312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) ,frozen",19660220
201604,502,United States,030325,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, , frozen Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",681110
201604,502,United States,030331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis) , frozen",3492
201604,502,United States,030332,Frozen plaice,4781339
201604,502,United States,030339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",112683106
201604,502,United States,030342,"Yellowfin tunas (Thunnus albacares),frozen",273563
201604,502,United States,030343,"Skipjack or stripebellied bonito ,frozen",20608417
201604,502,United States,030351,"Herrings (Clupea harengus, Clupea pallasii) ,frozen",387085
201604,502,United States,030363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",248143051
201604,502,United States,030367,"Alaska Pollack (Theragra chalcogramma) ,frozen",49427321
201604,502,United States,030369,"Other fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae,frozen",970184
201604,502,United States,030381,"Dogfish and other sharks ,frozen",309351
201604,502,United States,030382,"Rays and skates (Rajidae) ,frozen",16090
201604,502,United States,030389,"Other fish ,frozen",19096333
201604,502,United States,030390,-------,3986321
