Date of data,Trading partner code,Trading partner,Commodity code,Commodity,Renminbi Yuan
202002,502,United States,010619,Other mammals,127207
202002,502,United States,010649,Other insects,1395
202002,502,United States,010690,Other lives animals,4032
202002,502,United States,020120,Other cuts with bone in,155526
202002,502,United States,020130,Boneless,4397045
202002,502,United States,020220,Other cuts with bone in,4400864
202002,502,United States,020230,Boneless,24167959
202002,502,United States,020322,"Hams, shoulders and cuts thereof, with bone in",163843251
202002,502,United States,020329,Other frozen meat of swine,903508074
202002,502,United States,020621,"Tongues of bovine animals,frozen",719246
202002,502,United States,020629,"Other edible offal of bovine animals,frozen",47522
202002,502,United States,020649,"Other edible offal of swine,frozen",147281750
202002,502,United States,020714,"Cuts and offal, frozen",13955434
202002,502,United States,020910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",307772
202002,502,United States,030311,"Sockeye salmon (red salmon) (Oncorhynchus nerka) ,frozen",9612414
202002,502,United States,030312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) ,frozen",11641046
202002,502,United States,030339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",37104935
202002,502,United States,030359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",985244
202002,502,United States,030363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",16713901
202002,502,United States,030367,"Alaska Pollack (Theragra chalcogramma) ,frozen",3935551
202002,502,United States,030389,"Other fish ,frozen",2323187
202002,502,United States,030391,"Livers, roes and milt,frozen",2261193
202002,502,United States,030399,"Other fish fins, heads, tails, maws and other edible fish offal,frozen",118796
202002,502,United States,030471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",155
202002,502,United States,030475,Frozen fillets of alaska Pollack (Theragra chalcogramma),1857235
202002,502,United States,030495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",316287
202002,502,United States,030631,"Rock lobster and other sea crawfish (Palinurus spp, Panulirus spp, Jasus spp) , whether in shell or not, live, fresh or chilled",186264
202002,502,United States,030633,"Crabs , whether in shell or not, live, fresh or chilled",2742152
202002,502,United States,030636,"Other shrimps and prawns, whether in shell or not, live, fresh or chilled",949557
202002,502,United States,030743,"Frozen cuttle fish and squid, with or without shell",32409822
202002,502,United States,030760,"Snails, other than sea snails",348364
202002,502,United States,030784,Frozen stromboid conchs (Strombus spp.),3455148
