Date of data,Trading partner code,Trading partner,Commodity code,Commodity,Renminbi Yuan
201611,502,United States,010619,Other mammals,1941278
201611,502,United States,010620,Reptiles (including snakes and turtles),99216
201611,502,United States,010649,Other insects,10605
201611,502,United States,010690,Other lives animals,66647
201611,502,United States,020322,"Hams, shoulders and cuts thereof, with bone in",48569190
201611,502,United States,020329,Other frozen meat of swine,153797322
201611,502,United States,020649,"Other edible offal of swine,frozen",779646101
201611,502,United States,020910,"Pig fat, free of lean meat,not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",5643590
201611,502,United States,030119,Other ornamental fish,65933
201611,502,United States,030199,Other,101897
201611,502,United States,030311,"Sockeye salmon (red salmon) (Oncorhynchus nerka) ,frozen",15825688
201611,502,United States,030312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus) ,frozen",40836880
201611,502,United States,030325,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, , frozen Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",877461
201611,502,United States,030331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis) , frozen",454823
201611,502,United States,030332,Frozen plaice,1117448
201611,502,United States,030339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",99861470
201611,502,United States,030341,"Albacore or longfinned tunas (Thunnus alalunga),frozen",881932
201611,502,United States,030363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",38061084
201611,502,United States,030366,"Hake (Merluccius spp, Urophycis spp) ,frozen",416812
201611,502,United States,030367,"Alaska Pollack (Theragra chalcogramma) ,frozen",41939649
201611,502,United States,030382,"Rays and skates (Rajidae) ,frozen",44298
201611,502,United States,030389,"Other fish ,frozen",47324732
201611,502,United States,030390,-------,2951055
