Date of data,Trading partner code,Trading partner,Commodity code,Commodity,US dollar
201608,502,United States,0106,Other live animals,751476
201608,502,United States,0202,"Meat of bovine animals, frozen",31197
201608,502,United States,0203,"Meat of swine, fresh, chilled or frozen",47733572
201608,502,United States,0206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen",84633252
201608,502,United States,0209,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",1529293
201608,502,United States,0301,Live fish,17780
201608,502,United States,0303,"Fish, frozen, excluding fish fillets and other fish meat of heading 0304",78118290
201608,502,United States,0304,"Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen",1580355
201608,502,United States,0306,"Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked crustaceans, whether in shell or not, whether or not cooked before or during the smoking process; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine; flours, meals and pellets of crustaceans, fit for human consumption",16863341
201608,502,United States,0307,"Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked molluscs, whether in shell or not, whether or not cooked before or during the smoking process; flours, meals and pellets of molluscs, fit for human consumption",9358305
201608,502,United States,0308,"Aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; smoked aquatic invertebrates other than crustaceans and molluscs, whether or not cooked before or during the smoking process; flours, meals and pellets of aquatic invertebrates other than crustaceans and molluscs, fit for human consumption",287593
201608,502,United States,0401,"Milk and cream, not concentrated nor containing added sugar or other sweetening matter.",9682
201608,502,United States,0402,"Milk and cream, concentrated or containing added sugar or other sweetening matter",4940039
201608,502,United States,0403,"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit, nuts or cocoa",77460
201608,502,United States,0404,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",16933726
201608,502,United States,0406,Cheese and curd,4014515
201608,502,United States,0409,atural honey,14795
201608,502,United States,0410,"dible products of animal origin, not elsewhere specified or included",28920
201608,502,United States,0504,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked",6975191
201608,502,United States,0505,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers (whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation;powder and waste of feathers or parts of feathers",1088810
201608,502,United States,0511,"Animal products not elsewhere specified or included; dead animals of Chapter 1 or 3, unfit for human consumption",823058
201608,502,United States,0602,"Other live plants (including their roots), cuttings and slips; mushroom spawn.",278340
201608,502,United States,0603,"Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared.",87
201608,502,United States,0604,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh,dried, dyed, bleached, impregnated or otherwise prepared",12485
201608,502,United States,0703,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled.",27
201608,502,United States,0704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled.",590
201608,502,United States,0705,"Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled.",1426
201608,502,United States,0706,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh or chilled.",454
201608,502,United States,0710,"Vegetables (uncooked or cooked by steaming or boiling in water),frozen.",1464820
201608,502,United States,0712,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared.",73317
201608,502,United States,0713,"Dried leguminous vegetables, shelled, whether or not skinned or split.",1087386
201608,502,United States,0801,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled.",318
201608,502,United States,0802,"Other nuts, fresh or dried, whether or not shelled or peeled.",8274104
201608,502,United States,0804,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried.",2118
201608,502,United States,0805,"Citrus fruit, fresh or dried.",1741348
201608,502,United States,0806,"Grapes, fresh or dried.",8490547
201608,502,United States,0808,"Apples, pears and quinces, fresh.",1767104
201608,502,United States,0809,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh.",11859305
201608,502,United States,0811,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter.",85459
201608,502,United States,0812,"Fruit and nuts, provisionally preserved (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption.",6948
201608,502,United States,0813,"Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this Chapter.",609994
201608,502,United States,0901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion.",1727092
201608,502,United States,0902,"Tea, whether or not flavoured.",40523
201608,502,United States,0904,Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta.,7050
201608,502,United States,0906,Cinnamon and cinnamontree flowers.,1666
201608,502,United States,0909,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries.",5107
201608,502,United States,0910,"Ginger, saffron, turmeric (curcuma), thyme, bay leaves, curry and other spices.",23217
201608,502,United States,1001,Wheat and meslin.,47204898
201608,502,United States,1005,Maize (corn).,648114
201608,502,United States,1007,Grain sorghum.,73399675
201608,502,United States,1101,Wheat or meslin flour.,196
201608,502,United States,1102,Cereal flours other than of wheat or meslin.,1081
201608,502,United States,1103,"Cereal groats, meal and pellets.",6857
201608,502,United States,1104,"Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 10.06; germ of cereals, whole, rolled, flaked or ground.",19934
201608,502,United States,1105,"Flour, meal, powder, flakes, granules and pellets of potatoes.",642846
201608,502,United States,1106,"Flour, meal and powder of the dried leguminous vegetables of heading 07.13, of sago or of roots or tubers of heading 07.14 or of the products of Chapter 8.",1497344
201608,502,United States,1108,tarches; inulin.,376261
201608,502,United States,1201,"Soya beans, whether or not broken.",156018217
201608,502,United States,1202,"Groundnuts, not roasted or otherwise cooked, whether or not shelled or broken.",31046112
201608,502,United States,1204,"Linseed, whether or not broken.",283389
201608,502,United States,1208,"Flours and meals of oil seeds or oleaginous fruits, other than those of mustard.",880
201608,502,United States,1209,"Seeds, fruit and spores, of a kind used for sowing.",10615703
201608,502,United States,1210,"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin.",86890
201608,502,United States,1211,"lants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered.",121670
201608,502,United States,1212,"Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sativum) of a kind used primarily for human consumption, not elsewhere specified or included.",30592
201608,502,United States,1214,"wedes, mangolds, fodder roots, hay, lucerne (alfalfa), clover, sainfoin, forage kale, lupines, vetches and similar forage products, whether or not in the form of pellets.",46712989
201608,502,United States,1301,"Lac; natural gums, resins, gumresins and oleoresins (for example, balsams).",320672
201608,502,United States,1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agaragar and other mucilages and thickeners, whether or not modified, derived from vegetable products.",1746816
