数据年月,贸易伙伴编码,贸易伙伴名称,商品编码,商品名称,美元
202511,502,美国,106,其他活动物,238317.0
202511,502,美国,202,冻牛肉,1889072.0
202511,502,美国,203,鲜、冷、冻猪肉,4747059.0
202511,502,美国,206,鲜、冷、冻牛、猪、绵羊、山羊、马、驴、骡的食用杂碎,46771839.0
202511,502,美国,207,品目0105所列家禽的鲜、冷、冻肉及食用杂碎,2554681.0
202511,502,美国,301,活鱼,8170.0
202511,502,美国,303,冻鱼，但品目03.04的鱼片及其他鱼肉除外,68972527.0
202511,502,美国,304,鲜、冷、冻鱼片及其他鱼肉（不论是否绞碎）,1352621.0
202511,502,美国,306,活、鲜、冷、冻、干、盐腌、盐渍、熏制的带壳或去壳甲壳动物；蒸过或用水煮过的带壳甲壳动物,41334778.0
202511,502,美国,307,活、鲜、冷、冻、干、盐腌、盐渍、熏制的带壳或去壳软体动物,14807797.0
202511,502,美国,308,不属于甲壳动物及软体动物的水生无脊椎动物，活、鲜、冷、冻、干、盐腌或盐渍、熏制的,97600.0
202511,502,美国,401,未浓缩及未加糖或其他甜物质的乳及稀奶油,1645.0
202511,502,美国,402,浓缩、加糖或其他甜物质的乳及稀奶油,9116.0
202511,502,美国,403,酸乳；酪乳、结块的乳及稀奶油、酸乳酒及其他发酵或酸化的乳和稀奶油，不论是否浓缩、加糖、加其他甜物质、加香料、加水果、加坚果或加可可,90428.0
202511,502,美国,404,乳清，不论是否浓缩、加糖或其他甜物质；其他品目未列名的含天然乳的产品，不论是否加糖或其他甜物质,21669649.0
202511,502,美国,405,黄油及其他从乳提取的脂和油；乳酱,86648.0
202511,502,美国,406,乳酪及凝乳,2327763.0
202511,502,美国,504,整个或切块的动物（鱼除外）的肠、膀胱及胃，鲜、冷、冻、干、熏、盐腌及盐渍的,20378980.0
202511,502,美国,505,带有羽毛或羽绒的鸟皮及鸟体其他部分；羽毛及不完整羽毛（不论是否修边）、羽绒，仅经洗涤、消毒或为了保藏而作过处理，但未经进一步加工；羽毛或不完整羽毛的粉末及废料,616554.0
