Date of data,Trading partner code,Trading partner,Commodity code,Commodity,US dollar
202411,502,United States,010619,Other mammals,1178029
202411,502,United States,010620,Reptiles (including snakes and turtles),9443
202411,502,United States,010649,Other insects,244
202411,502,United States,020810,"Meat and edible meat offal of rabbits or hares,fresh, chilled or frozen",170700
202411,502,United States,020890,"Other meat and edible meat offal,fresh, chilled or frozen",33120
202411,502,United States,030111,Ornamental fish of freshwater,56265
202411,502,United States,030223,"Sole (Solea spp) ,fresh or chilled",8325
202411,502,United States,030289,"Other fish,fresh or chilled",342819
202411,502,United States,030323,"Tilapias (Oreochromis spp) , frozen",1338188
202411,502,United States,030324,"Catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp) , frozen",47532
202411,502,United States,030326,"Eels (Anguilla spp) , frozen",93502
202411,502,United States,030339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",110970
202411,502,United States,030353,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus),frozen",7200
202411,502,United States,030354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",52321
202411,502,United States,030359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",171609
202411,502,United States,030363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus) ,frozen",3206
202411,502,United States,030367,"Alaska Pollack (Theragra chalcogramma) ,frozen",58039
202411,502,United States,030389,"Other fish ,frozen",9675870
202411,502,United States,030391,"Livers, roes and milt,frozen",2304
202411,502,United States,030399,"Other fish fins, heads, tails, maws and other edible fish offal,frozen",46200
202411,502,United States,030461,Frozen fillets of tilapias (Oreochromis spp),1219537
202411,502,United States,030462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",975618
202411,502,United States,030469,"Frozen fillets of carp ""Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus"", eels ""Anguilla spp."" and snakeheads ""Channa spp.""",72032
202411,502,United States,030471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",27910884
202411,502,United States,030472,Frozen fillets of haddock (Melanogrammus aeglefinus),8085026
202411,502,United States,030474,"Frozen fillets of hake (Merluccius spp, Urophycis spp)",312279
202411,502,United States,030475,Frozen fillets of Alaska Pollock (Theragra chalcogramma),3275847
202411,502,United States,030479,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excluding cod, haddock, coalfish, hake and Alaska pollack)",214721
202411,502,United States,030481,"Frozen fillets of Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",16376247
202411,502,United States,030483,"Frozen fillets of flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",6020455
202411,502,United States,030489,"Frozen fish fillets, n.e.s.",1262661
202411,502,United States,030494,"Frozen meat, whether or not minced, of alaska Pollack (Theragra chalcogramma)",157437
202411,502,United States,030495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",247014
202411,502,United States,030499,Frozen fish meat n.e.s. (excluding fillets),300941
202411,502,United States,030520,"Livers, roes and milt of fish, dried, smoked, salted or in brine",1485
202411,502,United States,030532,"Fillets, dried, salted or in brine, but not smoked, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",1786283
202411,502,United States,030539,"Fish fillets, dried, salted or in brine, but not smoked (excluding tilapia, catfish, carp, eels, Nile perch, snakeheads and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)",106105
202411,502,United States,030551,"Dried cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",10165
202411,502,United States,030559,"Dried fish, even salted but not smoked (excluding fillets, offal and cod)",19078
202411,502,United States,030569,"Other fish, salted or in brine only (excluding fillets, offal, herring, cod, anchovies, tilapia, catfish, carp, eels, Nile perch and snakeheads)",18793
202411,502,United States,030572,"Fish heads, tails and maws, smoked, dried, salted or in brine",144068
202411,502,United States,030612,Frozen lobsters (Homarus spp),398422
202411,502,United States,030614,Frozen crabs,984557
202411,502,United States,030617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water (excluding cold-water shrimps and prawns)",4616439
202411,502,United States,030636,"Other shrimps and prawns, whether in shell or not, live, fresh or chilled",12
202411,502,United States,030695,"Shrimps and prawns,, whether in shell or not, live, fresh or chilled (excl. rock lobster and other sea crawfish, lobsters, crabs, Norway lobsters, shrimps and prawns); flours, meals and pellets of crustaceans, fit for human consumption, fresh or chilled",4701
202411,502,United States,030711,"Oysters, live, fresh, chilled",13275
202411,502,United States,030722,Frozen scallops and other molluscs of the family Pectinidae,3657653
202411,502,United States,030729,"Dried, salted or in brine, smoked, scallops and other molluscs of the family Pectinidae",203616
202411,502,United States,030743,"Frozen cuttle fish and squid, with or without shell",15776922
202411,502,United States,030752,Frozen octopus (Octopus spp.),391534
202411,502,United States,030772,"Frozen, even in shell, clams, cockles and ark shells (families Arcidae, Arcticidae,Cardiidae,Donacidae,Hiatellidae,Mactridae,Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae)",11588
202411,502,United States,030781,"Live, fresh or chilled abalone (Haliotis spp)",4482
202411,502,United States,030783,Frozen abalone (Haliotis spp),194863
202411,502,United States,030787,"Smoked, dried, salted or in brine, even in shell, abalone (Haliotis spp.)",47600
202411,502,United States,030792,Other frozen Molluscs,9902
202411,502,United States,030812,"Frozen sea cucumbers (Stichopus japonicus, Holothuroidea)",34254
202411,502,United States,030830,Jellyfish (Rhopilema spp),1179327
202411,502,United States,030890,"Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, aquatic invertebrates (excluding crustaceans, molluscs, sea cucumbers, sea urchins and jellyfish)",2952
202411,502,United States,040320,Yogurt,206798
202411,502,United States,040390,"Buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",338
202411,502,United States,040790,"Other birds'eggs, in shell, preserved or cooked",882552
202411,502,United States,040819,Other egg yolks,24882
202411,502,United States,040891,"Dried birds'eggs, not in shell, whether or not sweetened (excluding egg yolks)",46141
202411,502,United States,040899,"Other birds'eggs, not in shell, fresh, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, whether or not sweetened (excluding dried)",491574
202411,502,United States,041090,"Other edible products of animal origin, not elsewhere specified or included",469828
202411,502,United States,050210,"Pigs', hogs' or boars' bristles and hair and waste thereof",82255
202411,502,United States,050400,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked",7917171
202411,502,United States,050510,Feathers of a kind used for stuffing; down,5761120
202411,502,United States,050800,"Coral and similar materials, unworked or simply prepared bunot otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttlebone, unworked or simply prepared bunot cut to shape, powder and waste thereof",153360
202411,502,United States,051191,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead animals of Chapter 3",279255
202411,502,United States,051199,"Unkown Products of animal origin, n.e.s., dead animals, unfit for human consumption (excluding fish, crustaceans, molluscs or other aquatic invertebrates)",3252036
202411,502,United States,060110,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant",31688
202411,502,United States,060220,"Trees, shrubs and bushes, grafted or not, of kinds which bear edible fruit or nuts",2346
202411,502,United States,060290,Other live plant,5681904
202411,502,United States,060319,"Fresh cut flowers and buds, of a kind suitable for bouquets or for ornamental purposes",155454
202411,502,United States,060390,"Dried, dyed, bleached, impregnated or otherwise prepared cut flowers and buds, of a kind suitable for bouquets or for ornamental purposes",1379304
202411,502,United States,060420,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh",3747
202411,502,United States,060490,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared",1332684
202411,502,United States,070310,Fresh or chilled onions and shallots,547747
202411,502,United States,070320,Fresh or chilled garlic,14743227
202411,502,United States,070951,Fresh or chilled mushrooms of the genus Agaricus,176685
202411,502,United States,070952,Fresh or chilled mushrooms of the genus Boletus,502
202411,502,United States,070954,Fresh or chilled shiitake (Lentinus edodes),1003022
202411,502,United States,070956,Fresh or chilled truffles (Tuber spp.),40650
202411,502,United States,070959,Other fresh or chilled edible mushrooms and truffles,2300015
202411,502,United States,070999,Fresh or chilled vegetables n.e.s.,403936
202411,502,United States,071010,Frozen potatoes,11198
202411,502,United States,071021,Frozen peas (Pisum sativum),288280
202411,502,United States,071022,"Frozen beans (Vigna spp., Phaseolus spp.)",99528
202411,502,United States,071029,"Leguminous vegetables, shelled or unshelled, uncooked or cooked by steaming or by boiling in water, frozen (excluding peas and beans)",5143064
