Date of data,Trading partner code,Trading partner,Commodity code,Commodity,US dollar
202201,502,United States,10619,Other mammals,512803.0
202201,502,United States,10649,Other insects,508.0
202201,502,United States,20810,"Meat and edible meat offal of rabbits or hares,fresh, chilled or frozen",105600.0
202201,502,United States,30111,Ornamental fish of freshwater,105201.0
202201,502,United States,30289,"Other fish,fresh or chilled",294987.0
202201,502,United States,30323,"Tilapias (Oreochromis spp) , frozen",297521.0
202201,502,United States,30326,"Eels (Anguilla spp) , frozen",71505.0
202201,502,United States,30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",16299.0
202201,502,United States,30354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",48681.0
202201,502,United States,30359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",430293.0
202201,502,United States,30367,"Alaska Pollack (Theragra chalcogramma) ,frozen",9309.0
202201,502,United States,30389,"Other fish ,frozen",9495816.0
202201,502,United States,30461,Frozen fillets of tilapias (Oreochromis spp),1050604.0
202201,502,United States,30462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",2021545.0
202201,502,United States,30471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",27060891.0
202201,502,United States,30472,Frozen fillets of haddock (Melanogrammus aeglefinus),7806134.0
202201,502,United States,30474,"Frozen fillets of hake (Merluccius spp, Urophycis spp)",151366.0
202201,502,United States,30475,Frozen fillets of Alaska Pollock (Theragra chalcogramma),5031696.0
202201,502,United States,30481,"Frozen fillets of Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",10810532.0
202201,502,United States,30483,"Frozen fillets of flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",3051185.0
202201,502,United States,30487,"Frozen fillets of tunas (of the genus Thunnus),skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis)",112400.0
202201,502,United States,30489,"Frozen fish fillets, n.e.s.",1045898.0
202201,502,United States,30495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",110768.0
202201,502,United States,30499,Frozen fish meat n.e.s. (excluding fillets),3752.0
202201,502,United States,30532,"Fillets, dried, salted or in brine, but not smoked, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",1026416.0
202201,502,United States,30539,"Fish fillets, dried, salted or in brine, but not smoked (excluding tilapia, catfish, carp, eels, Nile perch, snakeheads and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)",151262.0
202201,502,United States,30551,"Dried cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",15500.0
202201,502,United States,30559,"Dried fish, even salted but not smoked (excluding fillets, offal and cod)",236605.0
202201,502,United States,30569,"Other fish, salted or in brine only (excluding fillets, offal, herring, cod, anchovies, tilapia, catfish, carp, eels, Nile perch and snakeheads)",53347.0
202201,502,United States,30572,"Fish heads, tails and maws, smoked, dried, salted or in brine",72359.0
202201,502,United States,30611,"Frozen rock lobster and other sea crawfish (Palinurus spp, Panulirus spp, Jasus spp)",147917.0
202201,502,United States,30614,Frozen crabs,1970478.0
202201,502,United States,30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water (excluding cold-water shrimps and prawns)",5855326.0
202201,502,United States,30633,"Crabs , whether in shell or not, live, fresh or chilled",178050.0
202201,502,United States,30636,"Other shrimps and prawns, whether in shell or not, live, fresh or chilled",2609.0
202201,502,United States,30695,"Shrimps and prawns,, whether in shell or not, live, fresh or chilled (excl. rock lobster and other sea crawfish, lobsters, crabs, Norway lobsters, shrimps and prawns); flours, meals and pellets of crustaceans, fit for human consumption, fresh or chilled",1150586.0
202201,502,United States,30722,Frozen scallops and other molluscs of the family Pectinidae,17086567.0
202201,502,United States,30729,"Dried, salted or in brine, smoked, scallops and other molluscs of the family Pectinidae",365400.0
202201,502,United States,30743,"Frozen cuttle fish and squid, with or without shell",24318104.0
202201,502,United States,30752,Frozen octopus (Octopus spp.),476102.0
202201,502,United States,30771,"Live, fresh or chilled, even in shell, clams, cockles and ark shells (families Arcidae, Arcticidae,Cardiidae,Donacidae,Hiatellidae,Mactridae,Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae)",12240.0
202201,502,United States,30783,Frozen abalone (Haliotis spp),252582.0
202201,502,United States,30787,"Smoked, dried, salted or in brine, even in shell, abalone (Haliotis spp.)",114960.0
202201,502,United States,30799,"Other Molluscs,dried/salted/ in brine/smoked",4190.0
202201,502,United States,30830,Jellyfish (Rhopilema spp),946406.0
202201,502,United States,30890,"Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, aquatic invertebrates (excluding crustaceans, molluscs, sea cucumbers, sea urchins and jellyfish)",2800.0
202201,502,United States,40299,"Milk and cream, concentrated and sweetened (excluding in solid forms)",40752.0
202201,502,United States,40390,"Buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, whether or not concentrated or flavoured or containing added sugar or other sweetening matter, fruits, nuts or cocoa",89690.0
202201,502,United States,40490,"Products consisting of natural milk constituents, whether or not sweetened, n.e.s.",71623.0
202201,502,United States,40790,"Other birds'eggs, in shell, preserved or cooked",986024.0
202201,502,United States,40811,Dried egg yolks,147500.0
202201,502,United States,40819,Other egg yolks,61866.0
202201,502,United States,40891,"Dried birds'eggs, not in shell, whether or not sweetened (excluding egg yolks)",57090.0
202201,502,United States,40899,"Other birds'eggs, not in shell, fresh, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, whether or not sweetened (excluding dried)",137964.0
202201,502,United States,41090,"Other edible products of animal origin, not elsewhere specified or included",377335.0
202201,502,United States,50100,"Human hair, unworked, whether or not washed or scoured; waste of human hair",527040.0
202201,502,United States,50210,"Pigs', hogs' or boars' bristles and hair and waste thereof",294472.0
202201,502,United States,50290,Badger and other brush making hair and waste thereof,3795.0
202201,502,United States,50400,"Guts, bladders and stomachs of animals (other than fish), wholeand pieces thereof, fresh, chilled, frozen, salted, in brine, dried orsmoked",6975006.0
202201,502,United States,50510,Feathers of a kind used for stuffing; down,6625179.0
202201,502,United States,50790,"Tortoiseshell, whalebone, Otherhorns, antlers, hooves, nails, claws and beaks, other powder and waste there of",9900.0
