Date of data,Trading partner code,Trading partner,Commodity code,Commodity,US dollar
202004,502,United States,10619,Other mammals,474.0
202004,502,United States,10649,Other insects,3.0
202004,502,United States,10690,Other lives animals,8880.0
202004,502,United States,30111,Ornamental fish of freshwater,5995.0
202004,502,United States,30323,"Tilapias (Oreochromis spp) , frozen",1356541.0
202004,502,United States,30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",9098.0
202004,502,United States,30353,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus),frozen",21861.0
202004,502,United States,30359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",165497.0
202004,502,United States,30389,"Other fish ,frozen",5814243.0
202004,502,United States,30461,Frozen fillets of tilapias (Oreochromis spp),2117738.0
202004,502,United States,30462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",313204.0
202004,502,United States,30471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",20561103.0
202004,502,United States,30472,Frozen fillets of haddock (Melanogrammus aeglefinus),4634307.0
202004,502,United States,30474,"Frozen fillets of hake (Merluccius spp, Urophycis spp)",988296.0
202004,502,United States,30475,Frozen fillets of alaska Pollack (Theragra chalcogramma),3233905.0
202004,502,United States,30481,"Frozen fillets of Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",23744743.0
202004,502,United States,30483,"Frozen fillets of flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",4750019.0
202004,502,United States,30487,"Frozen fillets of tunas (of the genus Thunnus), skipjack or stripebellied bonito (Euthynnus (Katsuwonus) pelamis)",179560.0
202004,502,United States,30489,"Frozen fish fillets, n.e.s.",1184219.0
202004,502,United States,30494,"Frozen meat, whether or not minced, of alaska Pollack (Theragra chalcogramma)",35376.0
202004,502,United States,30495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",11088.0
202004,502,United States,30499,Frozen fish meat n.e.s. (excluding fillets),276988.0
202004,502,United States,30532,"Fillets, dried, salted or in brine, but not smoked, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",3389253.0
202004,502,United States,30539,"Fish fillets, dried, salted or in brine, but not smoked (excluding tilapia, catfish, carp, eels, Nile perch, snakeheads and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)",143139.0
202004,502,United States,30554,"Dried herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp), sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp), jacks, crevalles (Caranx spp), cobia (Rachycentron canadum), silver pomfrets (Pampus spp), Pacific saury (Cololabis saira), scads (Decapterus spp), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp), marlins, sailfishes, spearfish (Istiophoridae)",10971.0
202004,502,United States,30559,"Dried fish, even salted but not smoked (excluding fillets, offal and cod)",144520.0
202004,502,United States,30562,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus),salted or in brine (excluding fillets and offal)",9677.0
202004,502,United States,30569,"Other fish, salted or in brine only (excluding fillets, offal, herring, cod, anchovies, tilapia, catfish, carp, eels, Nile perch and snakeheads)",497178.0
202004,502,United States,30572,"Fish heads, tails and maws, smoked, dried, salted or in brine",17400.0
202004,502,United States,30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water (excluding cold-water shrimps and prawns)",5785074.0
202004,502,United States,30695,"Shrimps and prawns,, whether in shell or not, live, fresh or chilled (excl. rock lobster and other sea crawfish, lobsters, crabs, Norway lobsters, shrimps and prawns); flours, meals and pellets of crustaceans, fit for human consumption, fresh or chilled",1140421.0
202004,502,United States,30722,"Frozen scallops, incl. queen scallops, of the genera Pecten, Chlamys or Placopecten, even in shell",2972630.0
202004,502,United States,30743,"Frozen cuttle fish and squid, with or without shell",3772036.0
202004,502,United States,30749,"Cuttle fish and squid, smoked, frozen, dried, salted or in brine, with or without shell",11302.0
202004,502,United States,30752,Frozen octopus (Octopus spp.),70390.0
202004,502,United States,30830,Jellyfish (Rhopilema spp),426881.0
202004,502,United States,30890,"Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, aquatic invertebrates (excluding crustaceans, molluscs, sea cucumbers, sea urchins and jellyfish); all flours, meals and pellets of aquatic invertebrates other than crustaceans and molluscs, fit for human consumption",2484.0
202004,502,United States,40299,"Milk and cream, concentrated and sweetened (excluding in solid forms)",48845.0
202004,502,United States,40790,"Other birds'eggs, in shell, preserved or cooked",846277.0
202004,502,United States,40811,Dried egg yolks,83410.0
202004,502,United States,40819,Other egg yolks,88733.0
202004,502,United States,40899,"Other birds'eggs, not in shell, fresh, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, whether or not sweetened (excluding dried)",29880.0
202004,502,United States,41000,"dible products of animal origin, not elsewhere specified or included",803776.0
202004,502,United States,50210,"Pigs', hogs' or boars' bristles and hair and waste thereof",610900.0
202004,502,United States,50400,"Guts, bladders and stomachs of animals (other than fish), wholeand pieces thereof, fresh, chilled, frozen, salted, in brine, dried orsmoked",9121165.0
202004,502,United States,50510,Feathers of a kind used for stuffing; down,2526653.0
202004,502,United States,50800,"Coral and similar materials, unworked or simply prepared bunot otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttlebone, unworked or simply prepared bunot cut to shape, powder and waste thereof",123775.0
202004,502,United States,51191,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead animals of Chapter 3",449152.0
202004,502,United States,51199,"Unkown Products of animal origin, n.e.s., dead animals, unfit for human consumption (excluding fish, crustaceans, molluscs or other aquatic invertebrates)",3182781.0
202004,502,United States,60210,Unrooted cuttings and slips,117797.0
202004,502,United States,60290,Other live plant,1171348.0
202004,502,United States,60390,"Dried, dyed, bleached, impregnated or otherwise prepared cut flowers and buds, of a kind suitable for bouquets or for ornamental purposes",12720.0
202004,502,United States,60420,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh",66402.0
202004,502,United States,60490,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared",659676.0
202004,502,United States,70310,Fresh or chilled onions and shallots,293070.0
202004,502,United States,70320,Fresh or chilled garlic,7566170.0
202004,502,United States,70390,"Leeks and other alliaceous vegetables,fresh or chilled",15696.0
202004,502,United States,70610,Fresh or chilled carrots and turnips,750.0
202004,502,United States,70690,"Fresh or chilled salad beetroot, salsify, celeriac, radishes and similar edible roots (excluding carrots and turnips)",775.0
202004,502,United States,70951,Fresh or chilled mushrooms of the genus Agaricus,53431.0
202004,502,United States,70959,"Fresh or chilled edible mushrooms and truffles excluding mushrooms of the genus Agaricus""""",304021.0
202004,502,United States,70999,Fresh or chilled vegetables n.e.s.,40245.0
202004,502,United States,71021,Frozen peas (Pisum sativum),173508.0
