Date of data,Trading partner code,Trading partner,Commodity code,Commodity,US dollar
201903,502,United States,010611,Primates,3809890
201903,502,United States,010619,Other mammals,12095
201903,502,United States,010620,Reptiles (including snakes and turtles),7177
201903,502,United States,020810,"Meat and edible meat offal of rabbits or hares,fresh, chilled or frozen",155523
201903,502,United States,030111,Ornamental fish of freshwater,68193
201903,502,United States,030289,"Other fish,fresh or chilled",104514
201903,502,United States,030323,"Tilapias (Oreochromis spp) , frozen",2731301
201903,502,United States,030325,"Carp (Cyprinus spp, Carassius spp, Ctenopharyngodon idellus, , frozen Hypophthalmichthys spp, Cirrhinus spp, Mylopharyngodon piceus, Catla catla, Labeo spp, Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp)",118998
201903,502,United States,030326,"Eels (Anguilla spp) , frozen",89570
201903,502,United States,030331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis) , frozen",1308
201903,502,United States,030353,"Sardines (Sardina pilchardus, Sardinops spp), sardinella (Sardinella spp), brisling or sprats (Sprattus sprattus),frozen",3814
201903,502,United States,030354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",2996
201903,502,United States,030359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",264149
201903,502,United States,030367,"Alaska Pollack (Theragra chalcogramma) ,frozen",6998
201903,502,United States,030389,"Other fish ,frozen",5751556
201903,502,United States,030461,Frozen fillets of tilapias (Oreochromis spp),11646521
201903,502,United States,030462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",254615
201903,502,United States,030471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",15582792
201903,502,United States,030472,Frozen fillets of haddock (Melanogrammus aeglefinus),3893994
201903,502,United States,030474,"Frozen fillets of hake (Merluccius spp, Urophycis spp)",1054384
201903,502,United States,030475,Frozen fillets of alaska Pollack (Theragra chalcogramma),4174530
201903,502,United States,030479,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae (excluding cod, haddock, coalfish, hake and Alaska pollack)",936
201903,502,United States,030481,"Frozen fillets of Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",11573935
201903,502,United States,030483,"Frozen fillets of flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",3886909
201903,502,United States,030487,"Frozen fillets of tunas (of the genus Thunnus), skipjack or stripebellied bonito (Euthynnus (Katsuwonus) pelamis)",541776
201903,502,United States,030489,"Frozen fish fillets, n.e.s.",834962
201903,502,United States,030495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",369008
201903,502,United States,030499,Frozen fish meat n.e.s. (excluding fillets),8148
201903,502,United States,030520,"Livers, roes and milt of fish, dried, smoked, salted or in brine",154114
201903,502,United States,030532,"Fillets, dried, salted or in brine, but not smoked, of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",1813170
201903,502,United States,030539,"Fish fillets, dried, salted or in brine, but not smoked (excluding tilapia, catfish, carp, eels, Nile perch, snakeheads and fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae)",24400
201903,502,United States,030559,"Dried fish, even salted but not smoked (excluding fillets, offal and cod)",60013
201903,502,United States,030569,"Other fish, salted or in brine only (excluding fillets, offal, herring, cod, anchovies, tilapia, catfish, carp, eels, Nile perch and snakeheads)",46717
201903,502,United States,030614,Frozen crabs,1811194
201903,502,United States,030616,"Frozen cold-water shrimps and prawns (Pandalus spp, Crangon crangon)",14
201903,502,United States,030617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in shell, cooked by steaming or by boiling in water (excluding cold-water shrimps and prawns)",2620870
201903,502,United States,030636,"Other shrimps and prawns, whether in shell or not, live, fresh or chilled",900
201903,502,United States,030695,"Shrimps and prawns,, whether in shell or not, live, fresh or chilled (excl. rock lobster and other sea crawfish, lobsters, crabs, Norway lobsters, shrimps and prawns); flours, meals and pellets of crustaceans, fit for human consumption, fresh or chilled",222177
201903,502,United States,030722,"Frozen scallops, incl. queen scallops, of the genera Pecten, Chlamys or Placopecten, even in shell",1581803
201903,502,United States,030729,"Scallops, incl. queen scallops, of the genera Pecten, Chlamys or Placopecten, smoked, frozen, dried, salted or in brine, even in shell",215250
201903,502,United States,030743,"Frozen cuttle fish and squid, with or without shell",7929801
201903,502,United States,030752,Frozen octopus (Octopus spp.),180991
201903,502,United States,030783,Frozen abalone (Haliotis spp),18852
201903,502,United States,030830,Jellyfish (Rhopilema spp),254118
201903,502,United States,030890,"Live, fresh, chilled, frozen, dried, salted or in brine, even smoked, aquatic invertebrates (excluding crustaceans, molluscs, sea cucumbers, sea urchins and jellyfish); all flours, meals and pellets of aquatic invertebrates other than crustaceans and molluscs, fit for human consumption",4062
201903,502,United States,040299,"Milk and cream, concentrated and sweetened (excluding in solid forms)",27217
201903,502,United States,040790,"Other birds'eggs, in shell, preserved or cooked",809055
201903,502,United States,040811,Dried egg yolks,25112
201903,502,United States,040819,Other egg yolks,7455
201903,502,United States,041000,"dible products of animal origin, not elsewhere specified or included",479335
201903,502,United States,050210,"Pigs', hogs' or boars' bristles and hair and waste thereof",489134
201903,502,United States,050290,Badger and other brush making hair and waste thereof,2495370
201903,502,United States,050400,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked",6510513
201903,502,United States,050510,Feathers of a kind used for stuffing; down,6625851
201903,502,United States,050800,"Coral and similar materials, unworked or simply prepared bunot otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttlebone, unworked or simply prepared bunot cut to shape, powder and waste thereof",105745
201903,502,United States,051000,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally preserved",954587
201903,502,United States,051191,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead animals of Chapter 3",361174
201903,502,United States,051199,"Unkown Products of animal origin, n.e.s., dead animals, unfit for human consumption (excluding fish, crustaceans, molluscs or other aquatic invertebrates)",2189350
201903,502,United States,060110,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant",83683
201903,502,United States,060210,Unrooted cuttings and slips,446307
201903,502,United States,060290,Other live plant,3846810
201903,502,United States,060390,"Dried, dyed, bleached, impregnated or otherwise prepared cut flowers and buds, of a kind suitable for bouquets or for ornamental purposes",7571
201903,502,United States,060490,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared",719848
201903,502,United States,070310,Fresh or chilled onions and shallots,261130
201903,502,United States,070320,Fresh or chilled garlic,7906185
201903,502,United States,070390,"Leeks and other alliaceous vegetables,fresh or chilled",7345
201903,502,United States,070951,Fresh or chilled mushrooms of the genus Agaricus,242107
201903,502,United States,070959,"Fresh or chilled edible mushrooms and truffles excluding mushrooms of the genus ""Agaricus""",1444143
201903,502,United States,070999,Fresh or chilled vegetables n.e.s.,509697
201903,502,United States,071010,Frozen potatoes,8698
201903,502,United States,071021,Frozen peas (Pisum sativum),121788
201903,502,United States,071022,"Frozen beans (Vigna spp., Phaseolus spp.)",82762
201903,502,United States,071029,"Leguminous vegetables, shelled or unshelled, uncooked or cooked by steaming or by boiling in water, frozen (excluding peas and beans)",1895816
201903,502,United States,071030,"Spinach, New Zealand spinach and orache spinach (garden spinach),frozen.",1281172
201903,502,United States,071040,"Sweet corn,frozen.",386946
201903,502,United States,071080,"Other vegetables (uncooked or cooked by steaming or boiling in water),frozen.",3635516
201903,502,United States,071090,"Mixtures of vegetables,frozen.",1009997
201903,502,United States,071140,"Cucumbers and gherkins , provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions, but unsuitable in that state for immediate consumption",11585
201903,502,United States,071159,Other mushrooms and truffles,50537
201903,502,United States,071190,Other vegetables; mixtures of vegetables,99293
201903,502,United States,071220,"Dried Onions, whole, cut, sliced, broken or in powder, but not further prepared.",223534
201903,502,United States,071232,"Dried wood ears (Auricularia spp.), whole, cut, sliced, broken or in powder, but not further prepared.",1136667
201903,502,United States,071233,"Dried jelly fungi (Tremella spp.), whole, cut, sliced, broken or in powder, but not further prepared.",1844
201903,502,United States,071239,"Dried other mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared.",1892122
201903,502,United States,071290,"Dried other vegetables; mixtures of vegetables, whole, cut, sliced, broken or in powder, but not further prepared.",11912399
201903,502,United States,071331,"Dried beans of the species Vigna mungo (L.) Hepper or Vigna radiata (L.) Wilczek, shelled, whether or not skinned or split.",1028206
201903,502,United States,071332,"Dried small red (Adzuki) beans (Phaseolus or Vigna angularis), shelled, whether or not skinned or split.",289396
201903,502,United States,071333,"Dried kidney beans, including white pea beans (Phaseolus vulgaris), shelled, whether or not skinned or split.",115375
201903,502,United States,071335,"Dried cow peas (Vigna unguiculata), shelled, whether or not skinned or split.",33040
201903,502,United States,071390,"Dried, shelled leguminous vegetables, whether or not skinned or split (excluding peas, chickpeas, beans, lentils, broad beans, horse beans and pigeon peas)",36464
