Date of data,Trading partner code,Trading partner,Commodity code,Commodity,US dollar
202101,502,United States,10619,Other mammals,364951.0
202101,502,United States,20810,"Meat and edible meat offal of rabbits or hares,fresh, chilled or frozen",173789.0
202101,502,United States,30111,Ornamental fish of freshwater,42492.0
202101,502,United States,30289,"Other fish,fresh or chilled",205700.0
202101,502,United States,30323,"Tilapias (Oreochromis spp) , frozen",355938.0
202101,502,United States,30326,"Eels (Anguilla spp) , frozen",8829.0
202101,502,United States,30339,"Other flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae Scophthalmidae and Citharidae), frozen",10638.0
202101,502,United States,30354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus) ,frozen",33482.0
202101,502,United States,30359,"Other herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae),frozen",141439.0
202101,502,United States,30389,"Other fish ,frozen",10000320.0
202101,502,United States,30461,Frozen fillets of tilapias (Oreochromis spp),1131120.0
202101,502,United States,30462,"Frozen fillets of catfish (Pangasius spp, Silurus spp, Clarias spp, Ictalurus spp)",1177913.0
202101,502,United States,30471,"Frozen fillets of cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",17957004.0
202101,502,United States,30472,Frozen fillets of haddock (Melanogrammus aeglefinus),3335921.0
202101,502,United States,30474,"Frozen fillets of hake (Merluccius spp, Urophycis spp)",187137.0
202101,502,United States,30475,Frozen fillets of alaska Pollack (Theragra chalcogramma),4216933.0
